mode,module,rank_before,mean_abs_shap_before,rank_after,mean_abs_shap_after,rank_change_after_minus_before
bidirectional,src/modules/events,10,0.1786418575195374,12.0,0.18304116490330505,2.0
bidirectional,src/modules/fw_att_control,8,0.2124510376554771,9.0,0.23905247652788617,1.0
bidirectional,src/modules/fw_pos_control_l1,9,0.1820843454458684,11.0,0.19988336277365543,2.0
bidirectional,src/modules/gnd_att_control,16,0.1371926656609362,14.0,0.1635568494303682,-2.0
bidirectional,src/modules/gnd_pos_control,24,0.1031039712824636,18.0,0.12058459262550289,-6.0
bidirectional,src/modules/gpio_led,31,0.0190636653296597,24.0,0.023462972713427427,-7.0
bidirectional,src/modules/land_detector,7,0.2146415574150485,6.0,0.29471490704558223,-1.0
bidirectional,src/modules/landing_target_estimator,20,0.1089858330976544,19.0,0.1137073432432566,-1.0
bidirectional,src/modules/load_mon,13,0.1595781921898776,15.0,0.15957819218987762,2.0
bidirectional,src/modules/logger,35,0.0010281054462344,28.0,0.001265360549211623,-7.0
bidirectional,src/modules/mavlink,3,0.3645651139576345,3.0,0.47706060130242867,0.0
bidirectional,src/modules/mc_att_control,6,0.2319233634584245,8.0,0.26375513889815483,2.0
bidirectional,src/modules/mc_pos_control,9,0.1820843454458684,11.0,0.19988336277365543,2.0
bidirectional,src/modules/navigator,17,0.127892409362001,16.0,0.13277003372880988,-1.0
bidirectional,src/modules/position_estimator_inav,11,0.1783204863413305,10.0,0.21049903226817065,-1.0
bidirectional,src/modules/replay,33,0.0160531344950473,,,
bidirectional,src/modules/sdlog2,30,0.0214869625373192,23.0,0.03376522684435888,-7.0
bidirectional,src/modules/sensors,5,0.259952972713064,5.0,0.3601860734812655,0.0
bidirectional,src/modules/simulator,22,0.1046806038281404,,,
bidirectional,src/modules/syslink,32,0.0180355598834253,25.0,0.022197612164215806,-7.0
bidirectional,src/modules/uavcan,28,0.058690594061409,17.0,0.1291193069350999,-11.0
bidirectional,src/modules/vtol_att_control,4,0.3196032096371375,4.0,0.4179882097942641,0.0
bidirectional,src/modules/wind_estimator,20,0.1089858330976544,19.0,0.1137073432432566,-1.0
bidirectional,src/platforms/posix/drivers/df_bebop_bus_wrapper,12,0.161869192466231,,,
bidirectional,src/platforms/posix/drivers/df_bebop_rangefinder_wrapper,34,0.0020849716311141,,,
bidirectional,src/platforms/posix/drivers/df_isl29501_wrapper,34,0.0020849716311141,,,
bidirectional,src/platforms/posix/drivers/df_ltc2946_wrapper,23,0.1031785984048219,,,
bidirectional,src/platforms/posix/drivers/df_trone_wrapper,34,0.0020849716311141,,,
bidirectional,src/platforms/qurt/fc_addon/uart_esc,15,0.1438336325828056,,,
bidirectional,src/platforms/qurt/tests/muorb,30,0.0214869625373192,,,
bidirectional,src/templates/module,30,0.0214869625373192,,,
