scope,mode,module,mean_abs_shap,seed_std,seeds,shap_share,rank,mapped_topic_degree,degree_normalized_score,degree_normalized_share,degree_normalized_rank
all,consumer_only,src/modules/fw_pos_control_l1,0.24405326648112524,0.009442252970974969,5,0.040927869609547016,6,5,0.04881065329622505,0.02328859196684892,11
all,consumer_only,src/modules/mc_pos_control,0.24405326648112524,0.009442252970974969,5,0.040927869609547016,6,5,0.04881065329622505,0.02328859196684892,11
all,consumer_only,src/modules/mc_att_control,0.2747312619444128,0.01184106874359413,5,0.046072586647377824,4,6,0.04578854365740213,0.021846679730384934,12
all,consumer_only,src/drivers/telemetry,0.20843123133656788,0.01098045834317054,5,0.034954034345449456,10,5,0.04168624626731358,0.01988938713967441,13
all,consumer_only,src/modules/attitude_estimator_q,0.03939276465175202,0.0026736090148922046,5,0.006606188716393065,18,1,0.03939276465175202,0.0187951186978215,14
all,consumer_only,src/modules/sdlog2,0.03939276465175202,0.0026736090148922046,5,0.006606188716393065,18,1,0.03939276465175202,0.0187951186978215,14
all,consumer_only,src/modules/navigator,0.11681824297869518,0.004637394423777347,5,0.019590484837940833,14,3,0.03893941432623173,0.01857881569763411,15
all,consumer_only,src/modules/fw_att_control,0.2242909225850628,0.007998249929259902,5,0.03761371345905098,8,6,0.0373818204308438,0.017835654804875693,16
all,consumer_only,src/modules/position_estimator_inav,0.17598760248339637,0.01229880196616973,5,0.02951321959828919,11,5,0.03519752049667928,0.0167934792455515,17
all,consumer_only,src/drivers/batt_smbus,0.028856895813480544,0.0020383916464656515,5,0.00483931760561687,20,1,0.028856895813480544,0.01376823350327896,18
all,consumer_only,src/modules/camera_feedback,0.025226354206502932,0.0021608140708986655,5,0.004230473742779629,21,1,0.025226354206502932,0.012036025544691594,19
all,consumer_only,src/modules/ekf2,0.10169171617918933,0.00614428288701308,5,0.017053757813459997,17,5,0.020338343235837865,0.009703852436201286,20
all,consumer_only,src/drivers/blinkm,0.030227703075126466,0.0019978766671723634,5,0.0050692027518941625,19,2,0.015113851537563233,0.0072111372771374894,21
all,consumer_only,src/modules/gpio_led,0.030227703075126466,0.0019978766671723634,5,0.0050692027518941625,19,2,0.015113851537563233,0.0072111372771374894,21
all,consumer_only,src/modules/logger,0.001370807261645925,7.89548621172101e-05,5,0.0002298851462772929,22,1,0.001370807261645925,0.0006540410509960216,22
all,bidirectional,src/modules/load_mon,0.15957819218987762,0.009167797024358413,5,0.022113356970144507,15,1,0.15957819218987762,0.07473163071520626,1
all,bidirectional,src/drivers/mkblctrl,0.28521487755766034,0.01224217080617843,5,0.03952331025986313,7,2,0.14260743877883017,0.06678410317733212,2
all,bidirectional,src/drivers/px4io,0.28521487755766034,0.01224217080617843,5,0.03952331025986313,7,2,0.14260743877883017,0.06678410317733212,2
all,bidirectional,src/modules/ekf2,1.100256163559591,0.06648171049730901,5,0.1524666808760744,1,8,0.1375320204449489,0.06440724777216816,3
all,bidirectional,src/drivers/px4fmu,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,17,1,0.1291193069350999,0.06046751270747465,4
all,bidirectional,src/drivers/tap_esc,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,17,1,0.1291193069350999,0.06046751270747465,4
