scope,mode,topic,mapped,module_count,input_mean_abs_shap,allocated_mean_abs_shap,conservation_error,seed
all,producer_only,cpuload,True,1,0.4861531300288016,0.4861531300288016,0.0,3
all,producer_only,ekf2_innovations,True,1,0.4855006726403763,0.4855006726403763,0.0,3
all,producer_only,vehicle_attitude,True,3,0.3703507374332723,0.3703507374332723,0.0,3
all,producer_only,battery_status,True,4,0.303541822089339,0.303541822089339,0.0,3
all,producer_only,vehicle_attitude_setpoint,True,4,0.2599668794822622,0.2599668794822622,0.0,3
all,producer_only,sensor_combined,True,1,0.2398615677386495,0.2398615677386495,0.0,3
all,producer_only,rate_ctrl_status,True,2,0.1529924110161149,0.1529924110161149,0.0,3
all,producer_only,sensor_preflight,True,1,0.1244207366179955,0.1244207366179955,0.0,3
all,producer_only,vehicle_vision_position,True,1,0.1105627581348861,0.1105627581348861,0.0,3
all,producer_only,vehicle_rates_setpoint,True,2,0.1055551174059361,0.1055551174059361,0.0,3
all,producer_only,distance_sensor,True,4,0.0189304684173626,0.0189304684173626,0.0,3
all,producer_only,vehicle_status,True,1,0.0165646755608155,0.0165646755608155,0.0,3
all,producer_only,vehicle_land_detected,True,2,0.013636731130291,0.013636731130291,0.0,3
all,consumer_only,estimator_status,True,1,1.1318765902940209,1.1318765902940209,0.0,3
all,consumer_only,vehicle_local_position,True,9,1.0422897030172802,1.0422897030172802,0.0,3
all,consumer_only,manual_control_setpoint,True,9,0.941027301361307,0.941027301361307,0.0,3
all,consumer_only,actuator_controls_0,True,4,0.9315062579726716,0.9315062579726716,0.0,3
all,consumer_only,actuator_outputs,False,0,0.6697255656101383,0.0,0.0,3
all,consumer_only,cpuload,True,2,0.4861531300288016,0.4861531300288016,0.0,3
all,consumer_only,ekf2_innovations,False,0,0.4855006726403763,0.0,0.0,3
all,consumer_only,vehicle_attitude,True,14,0.3703507374332723,0.3703507374332723,0.0,3
all,consumer_only,battery_status,True,10,0.303541822089339,0.303541822089339,0.0,3
all,consumer_only,vehicle_attitude_setpoint,True,4,0.2599668794822622,0.2599668794822622,0.0,3
all,consumer_only,sensor_combined,True,6,0.2398615677386495,0.2398615677386495,0.0,3
all,consumer_only,rate_ctrl_status,False,0,0.1529924110161149,0.0,0.0,3
all,consumer_only,sensor_preflight,True,1,0.1244207366179955,0.1244207366179955,0.0,3
all,consumer_only,vehicle_vision_position,True,2,0.1105627581348861,0.1105627581348861,0.0,3
all,consumer_only,vehicle_rates_setpoint,True,2,0.1055551174059361,0.1055551174059361,0.0,3
all,consumer_only,distance_sensor,True,2,0.0189304684173626,0.0189304684173626,0.0,3
all,consumer_only,vehicle_status,True,12,0.0165646755608155,0.0165646755608155,0.0,3
all,consumer_only,vehicle_land_detected,True,7,0.013636731130291,0.013636731130291,0.0,3
all,bidirectional,estimator_status,True,2,1.1318765902940209,1.1318765902940209,0.0,3
all,bidirectional,vehicle_local_position,True,11,1.0422897030172802,1.0422897030172802,0.0,3
all,bidirectional,manual_control_setpoint,True,11,0.941027301361307,0.941027301361307,0.0,3
all,bidirectional,actuator_controls_0,True,6,0.9315062579726716,0.9315062579726716,0.0,3
all,bidirectional,actuator_outputs,True,5,0.6697255656101383,0.6697255656101383,0.0,3
all,bidirectional,cpuload,True,3,0.4861531300288016,0.4861531300288016,0.0,3
all,bidirectional,ekf2_innovations,True,1,0.4855006726403763,0.4855006726403763,0.0,3
all,bidirectional,vehicle_attitude,True,17,0.3703507374332723,0.3703507374332723,0.0,3
all,bidirectional,battery_status,True,13,0.303541822089339,0.303541822089339,0.0,3
all,bidirectional,vehicle_attitude_setpoint,True,7,0.2599668794822622,0.2599668794822622,0.0,3
all,bidirectional,sensor_combined,True,7,0.2398615677386495,0.2398615677386495,0.0,3
all,bidirectional,rate_ctrl_status,True,2,0.1529924110161149,0.1529924110161149,0.0,3
all,bidirectional,sensor_preflight,True,2,0.1244207366179955,0.1244207366179955,0.0,3
all,bidirectional,vehicle_vision_position,True,3,0.1105627581348861,0.1105627581348861,0.0,3
all,bidirectional,vehicle_rates_setpoint,True,4,0.1055551174059361,0.1055551174059361,0.0,3
all,bidirectional,distance_sensor,True,5,0.0189304684173626,0.0189304684173626,0.0,3
all,bidirectional,vehicle_status,True,13,0.0165646755608155,0.0165646755608155,0.0,3
all,bidirectional,vehicle_land_detected,True,9,0.013636731130291,0.013636731130291,0.0,3
all,producer_only,estimator_status,True,1,1.0964958054291376,1.0964958054291376,0.0,4
all,producer_only,vehicle_local_position,True,2,1.063849458618231,1.063849458618231,0.0,4
all,producer_only,actuator_controls_0,True,2,0.9497990163683074,0.9497990163683074,0.0,4
all,producer_only,manual_control_setpoint,True,2,0.9063604890993452,0.9063604890993452,0.0,4
all,producer_only,actuator_outputs,True,5,0.6339943556568556,0.6339943556568556,0.0,4
all,producer_only,cpuload,True,1,0.4721340370260029,0.4721340370260029,0.0,4
all,producer_only,ekf2_innovations,True,1,0.465174908248726,0.465174908248726,0.0,4
all,producer_only,vehicle_attitude,True,3,0.3578461942757648,0.3578461942757648,0.0,4
all,producer_only,battery_status,True,4,0.2873354353598109,0.2873354353598109,0.0,4
all,producer_only,vehicle_attitude_setpoint,True,4,0.2660135980511173,0.2660135980511173,0.0,4
all,producer_only,sensor_combined,True,1,0.2412371442660469,0.2412371442660469,0.0,4
all,producer_only,rate_ctrl_status,True,2,0.1466714696412288,0.1466714696412288,0.0,4
all,producer_only,sensor_preflight,True,1,0.1323502595649767,0.1323502595649767,0.0,4
all,producer_only,vehicle_rates_setpoint,True,2,0.1053646749622919,0.1053646749622919,0.0,4
all,producer_only,vehicle_vision_position,True,1,0.0940625765791893,0.0940625765791893,0.0,4
all,producer_only,distance_sensor,True,4,0.0186958059758109,0.0186958059758109,0.0,4
all,producer_only,vehicle_status,True,1,0.0158184712784749,0.0158184712784749,0.0,4
all,producer_only,vehicle_land_detected,True,2,0.011132393608541,0.011132393608541,0.0,4
all,consumer_only,estimator_status,True,1,1.0964958054291376,1.0964958054291376,0.0,4
all,consumer_only,vehicle_local_position,True,9,1.063849458618231,1.063849458618231,0.0,4
all,consumer_only,actuator_controls_0,True,4,0.9497990163683074,0.9497990163683074,0.0,4
all,consumer_only,manual_control_setpoint,True,9,0.9063604890993452,0.9063604890993452,0.0,4
all,consumer_only,actuator_outputs,False,0,0.6339943556568556,0.0,0.0,4
all,consumer_only,cpuload,True,2,0.4721340370260029,0.4721340370260029,0.0,4
all,consumer_only,ekf2_innovations,False,0,0.465174908248726,0.0,0.0,4
all,consumer_only,vehicle_attitude,True,14,0.3578461942757648,0.3578461942757648,0.0,4
all,consumer_only,battery_status,True,10,0.2873354353598109,0.2873354353598109,0.0,4
all,consumer_only,vehicle_attitude_setpoint,True,4,0.2660135980511173,0.2660135980511173,0.0,4
all,consumer_only,sensor_combined,True,6,0.2412371442660469,0.2412371442660469,0.0,4
all,consumer_only,rate_ctrl_status,False,0,0.1466714696412288,0.0,0.0,4
all,consumer_only,sensor_preflight,True,1,0.1323502595649767,0.1323502595649767,0.0,4
all,consumer_only,vehicle_rates_setpoint,True,2,0.1053646749622919,0.1053646749622919,0.0,4
all,consumer_only,vehicle_vision_position,True,2,0.0940625765791893,0.0940625765791893,0.0,4
all,consumer_only,distance_sensor,True,2,0.0186958059758109,0.0186958059758109,0.0,4
all,consumer_only,vehicle_status,True,12,0.0158184712784749,0.0158184712784749,0.0,4
all,consumer_only,vehicle_land_detected,True,7,0.011132393608541,0.011132393608541,0.0,4
all,bidirectional,estimator_status,True,2,1.0964958054291376,1.0964958054291376,0.0,4
all,bidirectional,vehicle_local_position,True,11,1.063849458618231,1.063849458618231,0.0,4
all,bidirectional,actuator_controls_0,True,6,0.9497990163683074,0.9497990163683074,0.0,4
all,bidirectional,manual_control_setpoint,True,11,0.9063604890993452,0.9063604890993452,0.0,4
all,bidirectional,actuator_outputs,True,5,0.6339943556568556,0.6339943556568556,0.0,4
all,bidirectional,cpuload,True,3,0.4721340370260029,0.4721340370260029,0.0,4
all,bidirectional,ekf2_innovations,True,1,0.465174908248726,0.465174908248726,0.0,4
all,bidirectional,vehicle_attitude,True,17,0.3578461942757648,0.3578461942757648,0.0,4
all,bidirectional,battery_status,True,13,0.2873354353598109,0.2873354353598109,0.0,4
all,bidirectional,vehicle_attitude_setpoint,True,7,0.2660135980511173,0.2660135980511173,0.0,4
all,bidirectional,sensor_combined,True,7,0.2412371442660469,0.2412371442660469,0.0,4
all,bidirectional,rate_ctrl_status,True,2,0.1466714696412288,0.1466714696412288,0.0,4
all,bidirectional,sensor_preflight,True,2,0.1323502595649767,0.1323502595649767,0.0,4
all,bidirectional,vehicle_rates_setpoint,True,4,0.1053646749622919,0.1053646749622919,0.0,4
all,bidirectional,vehicle_vision_position,True,3,0.0940625765791893,0.0940625765791893,0.0,4
all,bidirectional,distance_sensor,True,5,0.0186958059758109,0.0186958059758109,0.0,4
all,bidirectional,vehicle_status,True,13,0.0158184712784749,0.0158184712784749,0.0,4
all,bidirectional,vehicle_land_detected,True,9,0.011132393608541,0.011132393608541,0.0,4
