run_id,mutation_id,ground_truth_module,module,score,rank,detected,ranking_available,ranking_protocol
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/events,0.012701427461943134,4,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/land_detector,0.009293724585936032,5,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/camera_trigger,0.007257546288330815,6,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/landing_target_estimator,0.006890628454940495,7,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/wind_estimator,0.006890628454940495,8,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/fw_pos_control_l1,0.006773589453041028,9,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/mc_pos_control,0.006773589453041028,10,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/navigator,0.0038542090689127535,11,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/vtol_att_control,0.0037118548574391406,12,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/mkblctrl,0.003326150517024493,13,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/px4io,0.003326150517024493,14,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/platforms/qurt/fc_addon/uart_esc,0.003326150517024493,15,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.0032005761051235454,16,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/examples/hwtest,0.0023217844489616213,17,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/platforms/posix/drivers/df_ltc2946_wrapper,0.0021962100370606814,18,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/linux_pwm_out,0.00100804341247727,19,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/pwm_out_sim,0.00100804341247727,20,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/px4fmu,0.00100804341247727,21,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/snapdragon_pwm_out,0.00100804341247727,22,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/tap_esc,0.00100804341247727,23,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/uavcan,0.00100804341247727,24,False,True,onset_conditioned
