seed,scope,k,windows,consistency,hit_rate,weighted_consistency,random_consistency,random_hit_rate,consistency_lift,hit_rate_lift
2,Altitude,10,571,0.2434325744308231,0.9877408056042032,0.2146777518892431,0.16091954022988508,0.8446979253764334,0.08251303420093803,0.1430428802277698
2,Mechanical/Electrical,10,683,0.7562225475841874,1.0,0.7725256144599395,0.49425287356321845,0.9993798022546388,0.26196967402096893,0.0006201977453611507
3,all,1,3602,0.3717379233759023,0.3717379233759023,0.3000431859519149,0.17034278529807834,0.1703427852980783,0.20139513807782394,0.20139513807782397
3,correct_predictions,1,3293,0.39265107804433647,0.39265107804433647,0.3071020632040523,0.16272762495156917,0.16272762495156912,0.2299234530927673,0.22992345309276735
3,External Position,1,1707,0.040421792618629174,0.040421792618629174,0.06448388919199845,0.03448275862068966,0.03448275862068961,0.005939033997939512,0.005939033997939561
3,Global Position,1,641,0.8455538221528861,0.8455538221528861,0.5002173365947548,0.19540229885057478,0.1954022988505747,0.6501515233023113,0.6501515233023114
3,Altitude,1,571,0.22416812609457093,0.22416812609457093,0.21720410179310476,0.16091954022988508,0.16091954022988508,0.06324858586468585,0.06324858586468585
3,Mechanical/Electrical,1,683,0.8784773060029283,0.8784773060029283,0.7701591538315603,0.49425287356321845,0.49425287356321845,0.38422443243970983,0.38422443243970983
3,all,3,3602,0.386729594669628,0.5955024986118823,0.3000431859519149,0.17034278529807834,0.3653705863730332,0.21638680937154964,0.2301319122388491
3,correct_predictions,3,3293,0.40834092519485776,0.6131187367142423,0.3071020632040523,0.16272762495156917,0.350841784488485,0.2456133002432886,0.2622769522257573
3,External Position,3,1707,0.10720562390158173,0.32044522554188637,0.06448388919199845,0.03448275862068966,0.10105193641209488,0.07272286528089206,0.2193932891297915
3,Global Position,3,641,0.7379095163806553,0.9625585023400937,0.5002173365947548,0.19540229885057478,0.483560545308741,0.5425072175300805,0.4789979570313527
3,Altitude,3,571,0.22591943957968477,0.5901926444833625,0.21720410179310476,0.16091954022988508,0.41321760460399076,0.06499989934979969,0.17697503987937174
3,Mechanical/Electrical,3,683,0.890190336749634,0.9428989751098097,0.7701591538315603,0.49425287356321845,0.875050709939148,0.39593746318641554,0.06784826517066167
3,all,5,3602,0.36213214880621875,0.7648528595224875,0.3000431859519149,0.17034278529807834,0.4757446622227997,0.1917893635081404,0.2891081972996878
3,correct_predictions,5,3293,0.37843911327057395,0.7767992711812937,0.3071020632040523,0.16272762495156917,0.4588012977219673,0.21571148831900477,0.31799797345932634
3,External Position,5,1707,0.11833626244874049,0.5629759812536614,0.06448388919199845,0.03448275862068966,0.16448889098542385,0.08385350382805082,0.3984870902682376
3,Global Position,5,641,0.5828393135725429,0.9875195007800313,0.5002173365947548,0.19540229885057478,0.6724476092018435,0.3874370147219681,0.3150718915781877
3,Altitude,5,571,0.25779334500875656,0.8528896672504378,0.21720410179310476,0.16091954022988508,0.5934941236714394,0.09687380477887148,0.2593955435789984
3,Mechanical/Electrical,5,683,0.8515373352855051,0.986822840409956,0.7701591538315603,0.49425287356321845,0.9706086007315265,0.3572844617222867,0.0162142396784295
3,all,10,3602,0.3039700166574125,0.8736812881732371,0.3000431859519149,0.17034278529807834,0.6305642277774868,0.1336272313593342,0.24311706039575032
3,correct_predictions,10,3293,0.3099605223200729,0.877315517764956,0.3071020632040523,0.16272762495156917,0.613075590938987,0.1472328973685037,0.264239926825969
3,External Position,10,1707,0.08728763913298183,0.7346221441124781,0.06448388919199845,0.03448275862068966,0.3098731072220388,0.05280488051229217,0.42474903689043925
3,Global Position,10,641,0.4371294851794072,1.0,0.5002173365947548,0.19540229885057478,0.9008424868902108,0.24172718632883242,0.09915751310978915
3,Altitude,10,571,0.24728546409807356,0.9964973730297724,0.21720410179310476,0.16091954022988508,0.8446979253764334,0.08636592386818848,0.15179944765333897
3,Mechanical/Electrical,10,683,0.7679355783308931,1.0,0.7701591538315603,0.49425287356321845,0.9993798022546388,0.27368270476767464,0.0006201977453611507
4,all,1,3602,0.36507495835646864,0.36507495835646864,0.30000999599824024,0.17034278529807834,0.1703427852980783,0.1947321730583903,0.19473217305839033
4,correct_predictions,1,3289,0.3879598662207358,0.3879598662207358,0.3080273883306718,0.16326452158536117,0.16326452158536114,0.22469534463537463,0.22469534463537466
4,External Position,1,1707,0.029291154071470416,0.029291154071470416,0.05752218053285299,0.03448275862068966,0.03448275862068961,-0.0051916045492192454,-0.005191604549219197
