seed,scope,level,rank,name,mean_abs_shap,scope_windows,channel,topic,subsystem,feature_count
0,all,channel,20,estimator_status.pos_test_ratio,0.09519331761190525,3602,estimator_status.pos_test_ratio,estimator_status,Global Position,18
0,all,channel,21,battery_status.discharged_mah,0.09363630876909405,3602,battery_status.discharged_mah,battery_status,Mechanical/Electrical,18
0,all,channel,22,sensor_preflight.gyro_inconsistency_rad_s,0.0895303283258422,3602,sensor_preflight.gyro_inconsistency_rad_s,sensor_preflight,Mechanical/Electrical,18
0,all,channel,23,ekf2_innovations.vel_pos_innov[4],0.08786921916412484,3602,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,18
0,all,channel,24,actuator_outputs.output[3],0.08451349867741273,3602,actuator_outputs.output[3],actuator_outputs,Mechanical/Electrical,18
0,all,channel,25,vehicle_local_position.dist_bottom,0.07984689444195929,3602,vehicle_local_position.dist_bottom,vehicle_local_position,Altitude,18
0,all,channel,26,actuator_outputs.output[5],0.07701577105493228,3602,actuator_outputs.output[5],actuator_outputs,Mechanical/Electrical,18
0,all,channel,27,actuator_outputs.output[0],0.07650300875062974,3602,actuator_outputs.output[0],actuator_outputs,Mechanical/Electrical,18
0,all,channel,28,vehicle_local_position.z,0.07539031980319703,3602,vehicle_local_position.z,vehicle_local_position,Altitude,18
0,all,channel,29,vehicle_local_position.epv,0.075151994337343,3602,vehicle_local_position.epv,vehicle_local_position,Global Position,18
0,all,channel,30,vehicle_attitude_setpoint.pitch_body,0.07172617228090915,3602,vehicle_attitude_setpoint.pitch_body,vehicle_attitude_setpoint,Mechanical/Electrical,18
0,all,channel,31,actuator_controls_0.control[2],0.07037242373619067,3602,actuator_controls_0.control[2],actuator_controls_0,Mechanical/Electrical,18
0,all,channel,32,vehicle_local_position.x,0.06993353805568323,3602,vehicle_local_position.x,vehicle_local_position,Global Position,18
0,all,channel,33,sensor_combined.accelerometer_m_s2[1],0.06976838613387007,3602,sensor_combined.accelerometer_m_s2[1],sensor_combined,Mechanical/Electrical,18
0,all,channel,34,vehicle_rates_setpoint.pitch,0.06923685614391066,3602,vehicle_rates_setpoint.pitch,vehicle_rates_setpoint,Mechanical/Electrical,18
0,all,channel,35,vehicle_local_position.az,0.06646917844772898,3602,vehicle_local_position.az,vehicle_local_position,Altitude,18
0,all,channel,36,cpuload.load,0.05761048202438301,3602,cpuload.load,cpuload,Mechanical/Electrical,18
0,all,channel,37,sensor_combined.accelerometer_m_s2[2],0.056538080566890546,3602,sensor_combined.accelerometer_m_s2[2],sensor_combined,Mechanical/Electrical,18
0,all,channel,38,vehicle_local_position.ay,0.05613005444816926,3602,vehicle_local_position.ay,vehicle_local_position,Shared,18
0,all,channel,39,vehicle_attitude_setpoint.roll_body,0.05593964917138646,3602,vehicle_attitude_setpoint.roll_body,vehicle_attitude_setpoint,Mechanical/Electrical,18
0,all,channel,40,battery_status.current_a,0.0518655671760354,3602,battery_status.current_a,battery_status,Mechanical/Electrical,18
0,all,channel,41,rate_ctrl_status.rollspeed_integ,0.05024999705777593,3602,rate_ctrl_status.rollspeed_integ,rate_ctrl_status,Mechanical/Electrical,18
0,all,channel,42,vehicle_vision_position.x,0.048944109773836154,3602,vehicle_vision_position.x,vehicle_vision_position,External Position,18
0,all,channel,43,vehicle_local_position.dist_bottom_rate,0.045216624092734456,3602,vehicle_local_position.dist_bottom_rate,vehicle_local_position,Altitude,18
0,all,channel,44,estimator_status.vibe[2],0.04485554902934821,3602,estimator_status.vibe[2],estimator_status,Mechanical/Electrical,18
0,all,channel,45,battery_status.current_filtered_a,0.044112949450700455,3602,battery_status.current_filtered_a,battery_status,Mechanical/Electrical,18
0,all,channel,46,actuator_outputs.output[6],0.04145305580101031,3602,actuator_outputs.output[6],actuator_outputs,Mechanical/Electrical,18
0,all,channel,47,estimator_status.hagl_test_ratio,0.04075839844880802,3602,estimator_status.hagl_test_ratio,estimator_status,Altitude,18
0,all,channel,48,estimator_status.vibe[1],0.039858200757739264,3602,estimator_status.vibe[1],estimator_status,Mechanical/Electrical,18
0,all,channel,49,actuator_outputs.output[1],0.03957991337500062,3602,actuator_outputs.output[1],actuator_outputs,Mechanical/Electrical,18
0,all,channel,50,actuator_controls_0.control[0],0.036670814611133105,3602,actuator_controls_0.control[0],actuator_controls_0,Mechanical/Electrical,18
0,all,channel,51,rate_ctrl_status.yawspeed_integ,0.0364298409323888,3602,rate_ctrl_status.yawspeed_integ,rate_ctrl_status,Global Position,18
0,all,channel,52,ekf2_innovations.hagl_innov,0.036272020112250246,3602,ekf2_innovations.hagl_innov,ekf2_innovations,Altitude,18
0,all,channel,53,vehicle_vision_position.z,0.03541449541934074,3602,vehicle_vision_position.z,vehicle_vision_position,External Position,18
0,all,channel,54,actuator_outputs.output[7],0.03315534807776203,3602,actuator_outputs.output[7],actuator_outputs,Mechanical/Electrical,18
0,all,channel,55,sensor_preflight.accel_inconsistency_m_s_s,0.03207928405500284,3602,sensor_preflight.accel_inconsistency_m_s_s,sensor_preflight,Mechanical/Electrical,18
0,all,channel,56,rate_ctrl_status.pitchspeed_integ,0.03200687575825955,3602,rate_ctrl_status.pitchspeed_integ,rate_ctrl_status,Mechanical/Electrical,18
0,all,channel,57,battery_status.voltage_v,0.031825275020661944,3602,battery_status.voltage_v,battery_status,Mechanical/Electrical,18
0,all,channel,58,ekf2_innovations.output_tracking_error[2],0.03143654939963614,3602,ekf2_innovations.output_tracking_error[2],ekf2_innovations,Shared,18
0,all,channel,59,ekf2_innovations.heading_innov,0.031014280621917058,3602,ekf2_innovations.heading_innov,ekf2_innovations,Global Position,18
0,all,channel,60,vehicle_attitude.q[1],0.029964639750422323,3602,vehicle_attitude.q[1],vehicle_attitude,Mechanical/Electrical,18
0,all,channel,61,distance_sensor.current_distance,0.02841732453411179,3602,distance_sensor.current_distance,distance_sensor,Altitude,18
0,all,channel,62,vehicle_status.nav_state,0.025901140064731456,3602,vehicle_status.nav_state,vehicle_status,Shared,18
0,all,channel,63,vehicle_local_position.vy,0.02556268647389542,3602,vehicle_local_position.vy,vehicle_local_position,Global Position,18
0,all,channel,64,vehicle_local_position.vz,0.02381366016668659,3602,vehicle_local_position.vz,vehicle_local_position,Altitude,18
0,all,channel,65,vehicle_attitude.q[3],0.02274508255402966,3602,vehicle_attitude.q[3],vehicle_attitude,Mechanical/Electrical,18
0,all,channel,66,vehicle_attitude.rollspeed,0.022496231169793792,3602,vehicle_attitude.rollspeed,vehicle_attitude,Mechanical/Electrical,18
0,all,channel,67,vehicle_rates_setpoint.roll,0.02070317609962225,3602,vehicle_rates_setpoint.roll,vehicle_rates_setpoint,Mechanical/Electrical,18
0,all,channel,68,vehicle_attitude.pitchspeed,0.020582976133226093,3602,vehicle_attitude.pitchspeed,vehicle_attitude,Mechanical/Electrical,18
0,all,channel,69,vehicle_rates_setpoint.yaw,0.02039375087749481,3602,vehicle_rates_setpoint.yaw,vehicle_rates_setpoint,Global Position,18
0,all,channel,70,estimator_status.vibe[0],0.018134336750067297,3602,estimator_status.vibe[0],estimator_status,Mechanical/Electrical,18
0,all,channel,71,vehicle_land_detected.ground_contact,0.016243157524737834,3602,vehicle_land_detected.ground_contact,vehicle_land_detected,Altitude,18
0,all,channel,72,vehicle_attitude.yawspeed,0.015895012708061082,3602,vehicle_attitude.yawspeed,vehicle_attitude,Global Position,18
0,all,channel,73,sensor_combined.gyro_rad[1],0.015780420164660403,3602,sensor_combined.gyro_rad[1],sensor_combined,Mechanical/Electrical,18
0,all,channel,74,battery_status.remaining,0.015246913350583167,3602,battery_status.remaining,battery_status,Mechanical/Electrical,18
0,all,channel,75,ekf2_innovations.output_tracking_error[1],0.013594728362499186,3602,ekf2_innovations.output_tracking_error[1],ekf2_innovations,Shared,18
0,all,channel,76,vehicle_local_position.y,0.013364105861594585,3602,vehicle_local_position.y,vehicle_local_position,Global Position,18
0,all,channel,77,vehicle_local_position.ax,0.011733795604537809,3602,vehicle_local_position.ax,vehicle_local_position,Shared,18
0,all,channel,78,vehicle_attitude.q[0],0.011588361190937707,3602,vehicle_attitude.q[0],vehicle_attitude,Mechanical/Electrical,18
0,all,channel,79,vehicle_local_position.vx,0.010526156364430876,3602,vehicle_local_position.vx,vehicle_local_position,Global Position,18
0,all,channel,80,battery_status.voltage_filtered_v,0.010294940768365303,3602,battery_status.voltage_filtered_v,battery_status,Mechanical/Electrical,18
0,all,channel,81,actuator_outputs.output[4],0.009384896397992767,3602,actuator_outputs.output[4],actuator_outputs,Mechanical/Electrical,18
0,all,channel,82,sensor_combined.gyro_rad[2],0.009197716525108096,3602,sensor_combined.gyro_rad[2],sensor_combined,Mechanical/Electrical,18
0,all,channel,83,manual_control_setpoint.r,0.0026315536953373498,3602,manual_control_setpoint.r,manual_control_setpoint,Shared,18
0,all,channel,84,sensor_combined.gyro_rad[0],0.002231917443078191,3602,sensor_combined.gyro_rad[0],sensor_combined,Mechanical/Electrical,18
0,all,channel,85,vehicle_land_detected.landed,0.0014640012659486315,3602,vehicle_land_detected.landed,vehicle_land_detected,Altitude,18
0,all,channel,86,vehicle_land_detected.maybe_landed,0.0,3602,vehicle_land_detected.maybe_landed,vehicle_land_detected,Altitude,18
0,all,channel,87,vehicle_status.arming_state,0.0,3602,vehicle_status.arming_state,vehicle_status,Shared,18
0,External Position,channel,1,vehicle_local_position.eph,1.05990489214268,1707,vehicle_local_position.eph,vehicle_local_position,Global Position,18
0,External Position,channel,2,actuator_outputs.output[2],0.48841535266854424,1707,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,18
0,External Position,channel,3,actuator_controls_0.control[1],0.24574017235645834,1707,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,18
0,External Position,channel,4,vehicle_vision_position.y,0.23387079926796597,1707,vehicle_vision_position.y,vehicle_vision_position,External Position,18
0,External Position,channel,5,estimator_status.pos_horiz_accuracy,0.22193909313454535,1707,estimator_status.pos_horiz_accuracy,estimator_status,Global Position,18
0,External Position,channel,6,actuator_controls_0.control[3],0.22119074507001105,1707,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,18
0,External Position,channel,7,manual_control_setpoint.z,0.20146495895887656,1707,manual_control_setpoint.z,manual_control_setpoint,Altitude,18
0,External Position,channel,8,cpuload.ram_usage,0.19361839797285507,1707,cpuload.ram_usage,cpuload,Mechanical/Electrical,18
0,External Position,channel,9,vehicle_attitude_setpoint.yaw_body,0.16715854093023835,1707,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,18
0,External Position,channel,10,estimator_status.pos_test_ratio,0.1516499348899329,1707,estimator_status.pos_test_ratio,estimator_status,Global Position,18
0,External Position,channel,11,battery_status.discharged_mah,0.14458527164721602,1707,battery_status.discharged_mah,battery_status,Mechanical/Electrical,18
0,External Position,channel,12,manual_control_setpoint.y,0.1432889205473219,1707,manual_control_setpoint.y,manual_control_setpoint,Global Position,18
0,External Position,channel,13,vehicle_local_position.dist_bottom,0.1362379167936323,1707,vehicle_local_position.dist_bottom,vehicle_local_position,Altitude,18
0,External Position,channel,14,vehicle_local_position.z,0.12754086230369605,1707,vehicle_local_position.z,vehicle_local_position,Altitude,18
0,External Position,channel,15,vehicle_attitude.q[2],0.12705243828813567,1707,vehicle_attitude.q[2],vehicle_attitude,Mechanical/Electrical,18
0,External Position,channel,16,ekf2_innovations.vel_pos_innov[3],0.12593225707281983,1707,ekf2_innovations.vel_pos_innov[3],ekf2_innovations,Global Position,18
0,External Position,channel,17,ekf2_innovations.output_tracking_error[0],0.10985010828988948,1707,ekf2_innovations.output_tracking_error[0],ekf2_innovations,Shared,18
0,External Position,channel,18,estimator_status.pos_vert_accuracy,0.10950672663070532,1707,estimator_status.pos_vert_accuracy,estimator_status,Altitude,18
0,External Position,channel,19,vehicle_local_position.az,0.10294633828020837,1707,vehicle_local_position.az,vehicle_local_position,Altitude,18
0,External Position,channel,20,sensor_combined.accelerometer_m_s2[0],0.09870742610659804,1707,sensor_combined.accelerometer_m_s2[0],sensor_combined,Mechanical/Electrical,18
0,External Position,channel,21,ekf2_innovations.vel_pos_innov[4],0.09817568743081204,1707,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,18
0,External Position,channel,22,estimator_status.hgt_test_ratio,0.09168061024411019,1707,estimator_status.hgt_test_ratio,estimator_status,Altitude,18
0,External Position,channel,23,vehicle_vision_position.x,0.07890924254877021,1707,vehicle_vision_position.x,vehicle_vision_position,External Position,18
0,External Position,channel,24,vehicle_local_position.x,0.07806485572081776,1707,vehicle_local_position.x,vehicle_local_position,Global Position,18
0,External Position,channel,25,estimator_status.vibe[2],0.07684573090593368,1707,estimator_status.vibe[2],estimator_status,Mechanical/Electrical,18
0,External Position,channel,26,actuator_controls_0.control[2],0.07680110719774423,1707,actuator_controls_0.control[2],actuator_controls_0,Mechanical/Electrical,18
0,External Position,channel,27,rate_ctrl_status.rollspeed_integ,0.07407909908551785,1707,rate_ctrl_status.rollspeed_integ,rate_ctrl_status,Mechanical/Electrical,18
0,External Position,channel,28,sensor_preflight.gyro_inconsistency_rad_s,0.06689894134848924,1707,sensor_preflight.gyro_inconsistency_rad_s,sensor_preflight,Mechanical/Electrical,18
0,External Position,channel,29,actuator_controls_0.control[0],0.06169267444184793,1707,actuator_controls_0.control[0],actuator_controls_0,Mechanical/Electrical,18
0,External Position,channel,30,vehicle_vision_position.z,0.0568730861624713,1707,vehicle_vision_position.z,vehicle_vision_position,External Position,18
0,External Position,channel,31,ekf2_innovations.hagl_innov,0.051376922768040414,1707,ekf2_innovations.hagl_innov,ekf2_innovations,Altitude,18
0,External Position,channel,32,actuator_outputs.output[0],0.050873925834500656,1707,actuator_outputs.output[0],actuator_outputs,Mechanical/Electrical,18
0,External Position,channel,33,actuator_outputs.output[6],0.0493350951484523,1707,actuator_outputs.output[6],actuator_outputs,Mechanical/Electrical,18
0,External Position,channel,34,sensor_combined.accelerometer_m_s2[2],0.0483130941622009,1707,sensor_combined.accelerometer_m_s2[2],sensor_combined,Mechanical/Electrical,18
0,External Position,channel,35,ekf2_innovations.vel_pos_innov[5],0.048262613021354914,1707,ekf2_innovations.vel_pos_innov[5],ekf2_innovations,Shared,18
0,External Position,channel,36,ekf2_innovations.output_tracking_error[2],0.04683584450421579,1707,ekf2_innovations.output_tracking_error[2],ekf2_innovations,Shared,18
0,External Position,channel,37,cpuload.load,0.045722868766596314,1707,cpuload.load,cpuload,Mechanical/Electrical,18
0,External Position,channel,38,vehicle_local_position.vy,0.043841154065182346,1707,vehicle_local_position.vy,vehicle_local_position,Global Position,18
0,External Position,channel,39,rate_ctrl_status.pitchspeed_integ,0.039478702959689776,1707,rate_ctrl_status.pitchspeed_integ,rate_ctrl_status,Mechanical/Electrical,18
0,External Position,channel,40,vehicle_attitude.rollspeed,0.03865980726893833,1707,vehicle_attitude.rollspeed,vehicle_attitude,Mechanical/Electrical,18
0,External Position,channel,41,vehicle_local_position.epv,0.03795615733183339,1707,vehicle_local_position.epv,vehicle_local_position,Global Position,18
0,External Position,channel,42,vehicle_status.nav_state,0.036843670157089226,1707,vehicle_status.nav_state,vehicle_status,Shared,18
0,External Position,channel,43,vehicle_attitude_setpoint.pitch_body,0.03625249118082852,1707,vehicle_attitude_setpoint.pitch_body,vehicle_attitude_setpoint,Mechanical/Electrical,18
0,External Position,channel,44,vehicle_rates_setpoint.roll,0.035828095399305086,1707,vehicle_rates_setpoint.roll,vehicle_rates_setpoint,Mechanical/Electrical,18
0,External Position,channel,45,vehicle_local_position.dist_bottom_rate,0.03512937120612639,1707,vehicle_local_position.dist_bottom_rate,vehicle_local_position,Altitude,18
0,External Position,channel,46,actuator_outputs.output[7],0.034978904029281443,1707,actuator_outputs.output[7],actuator_outputs,Mechanical/Electrical,18
0,External Position,channel,47,estimator_status.mag_test_ratio,0.034207910404268176,1707,estimator_status.mag_test_ratio,estimator_status,Shared,18
0,External Position,channel,48,estimator_status.hagl_test_ratio,0.03326313588028665,1707,estimator_status.hagl_test_ratio,estimator_status,Altitude,18
0,External Position,channel,49,vehicle_attitude.pitchspeed,0.032861313933253214,1707,vehicle_attitude.pitchspeed,vehicle_attitude,Mechanical/Electrical,18
0,External Position,channel,50,estimator_status.vibe[1],0.029520630204047684,1707,estimator_status.vibe[1],estimator_status,Mechanical/Electrical,18
0,External Position,channel,51,manual_control_setpoint.x,0.029157457296423984,1707,manual_control_setpoint.x,manual_control_setpoint,Global Position,18
0,External Position,channel,52,vehicle_local_position.ay,0.027407157538612857,1707,vehicle_local_position.ay,vehicle_local_position,Shared,18
0,External Position,channel,53,ekf2_innovations.heading_innov,0.027181386240304053,1707,ekf2_innovations.heading_innov,ekf2_innovations,Global Position,18
0,External Position,channel,54,estimator_status.vibe[0],0.025253707017202,1707,estimator_status.vibe[0],estimator_status,Mechanical/Electrical,18
0,External Position,channel,55,sensor_combined.accelerometer_m_s2[1],0.02473503404138262,1707,sensor_combined.accelerometer_m_s2[1],sensor_combined,Mechanical/Electrical,18
0,External Position,channel,56,sensor_combined.gyro_rad[1],0.024082597513950667,1707,sensor_combined.gyro_rad[1],sensor_combined,Mechanical/Electrical,18
0,External Position,channel,57,vehicle_local_position.y,0.021050152891717272,1707,vehicle_local_position.y,vehicle_local_position,Global Position,18
0,External Position,channel,58,vehicle_land_detected.ground_contact,0.020768265115243562,1707,vehicle_land_detected.ground_contact,vehicle_land_detected,Altitude,18
0,External Position,channel,59,sensor_preflight.accel_inconsistency_m_s_s,0.018975221001992795,1707,sensor_preflight.accel_inconsistency_m_s_s,sensor_preflight,Mechanical/Electrical,18
0,External Position,channel,60,battery_status.current_filtered_a,0.018914476770344333,1707,battery_status.current_filtered_a,battery_status,Mechanical/Electrical,18
0,External Position,channel,61,ekf2_innovations.output_tracking_error[1],0.01831948339542879,1707,ekf2_innovations.output_tracking_error[1],ekf2_innovations,Shared,18
0,External Position,channel,62,vehicle_local_position.vz,0.01827175901136766,1707,vehicle_local_position.vz,vehicle_local_position,Altitude,18
0,External Position,channel,63,vehicle_rates_setpoint.pitch,0.017370212217662467,1707,vehicle_rates_setpoint.pitch,vehicle_rates_setpoint,Mechanical/Electrical,18
0,External Position,channel,64,vehicle_attitude.q[1],0.017305801383928225,1707,vehicle_attitude.q[1],vehicle_attitude,Mechanical/Electrical,18
0,External Position,channel,65,vehicle_attitude.q[0],0.016478258912774883,1707,vehicle_attitude.q[0],vehicle_attitude,Mechanical/Electrical,18
0,External Position,channel,66,vehicle_local_position.vx,0.01647098745656933,1707,vehicle_local_position.vx,vehicle_local_position,Global Position,18
0,External Position,channel,67,vehicle_attitude.yawspeed,0.01633530182622743,1707,vehicle_attitude.yawspeed,vehicle_attitude,Global Position,18
0,External Position,channel,68,battery_status.voltage_v,0.014114237912799331,1707,battery_status.voltage_v,battery_status,Mechanical/Electrical,18
0,External Position,channel,69,vehicle_local_position.ax,0.014066248404417201,1707,vehicle_local_position.ax,vehicle_local_position,Shared,18
0,External Position,channel,70,vehicle_attitude.q[3],0.013574542087004626,1707,vehicle_attitude.q[3],vehicle_attitude,Mechanical/Electrical,18
0,External Position,channel,71,rate_ctrl_status.yawspeed_integ,0.01357401503847453,1707,rate_ctrl_status.yawspeed_integ,rate_ctrl_status,Global Position,18
0,External Position,channel,72,vehicle_rates_setpoint.yaw,0.01302801108358336,1707,vehicle_rates_setpoint.yaw,vehicle_rates_setpoint,Global Position,18
0,External Position,channel,73,distance_sensor.current_distance,0.012718260625644535,1707,distance_sensor.current_distance,distance_sensor,Altitude,18
0,External Position,channel,74,battery_status.remaining,0.012668668874197167,1707,battery_status.remaining,battery_status,Mechanical/Electrical,18
0,External Position,channel,75,vehicle_attitude_setpoint.roll_body,0.012445672757380807,1707,vehicle_attitude_setpoint.roll_body,vehicle_attitude_setpoint,Mechanical/Electrical,18
0,External Position,channel,76,sensor_combined.gyro_rad[2],0.010680412020387076,1707,sensor_combined.gyro_rad[2],sensor_combined,Mechanical/Electrical,18
0,External Position,channel,77,actuator_outputs.output[1],0.010182059039154475,1707,actuator_outputs.output[1],actuator_outputs,Mechanical/Electrical,18
0,External Position,channel,78,actuator_outputs.output[3],0.009318618241439033,1707,actuator_outputs.output[3],actuator_outputs,Mechanical/Electrical,18
0,External Position,channel,79,battery_status.current_a,0.008969566930774093,1707,battery_status.current_a,battery_status,Mechanical/Electrical,18
0,External Position,channel,80,actuator_outputs.output[5],0.008625744064362098,1707,actuator_outputs.output[5],actuator_outputs,Mechanical/Electrical,18
0,External Position,channel,81,battery_status.voltage_filtered_v,0.006421972090131883,1707,battery_status.voltage_filtered_v,battery_status,Mechanical/Electrical,18
0,External Position,channel,82,actuator_outputs.output[4],0.0048715447759598764,1707,actuator_outputs.output[4],actuator_outputs,Mechanical/Electrical,18
0,External Position,channel,83,manual_control_setpoint.r,0.003346546899718382,1707,manual_control_setpoint.r,manual_control_setpoint,Shared,18
0,External Position,channel,84,vehicle_land_detected.landed,0.002694565911322625,1707,vehicle_land_detected.landed,vehicle_land_detected,Altitude,18
0,External Position,channel,85,sensor_combined.gyro_rad[0],0.0017394371923485656,1707,sensor_combined.gyro_rad[0],sensor_combined,Mechanical/Electrical,18
0,External Position,channel,86,vehicle_land_detected.maybe_landed,0.0,1707,vehicle_land_detected.maybe_landed,vehicle_land_detected,Altitude,18
0,External Position,channel,87,vehicle_status.arming_state,0.0,1707,vehicle_status.arming_state,vehicle_status,Shared,18
0,Global Position,channel,1,manual_control_setpoint.x,1.3082853240455945,641,manual_control_setpoint.x,manual_control_setpoint,Global Position,18
0,Global Position,channel,2,estimator_status.pos_horiz_accuracy,0.9935759081358237,641,estimator_status.pos_horiz_accuracy,estimator_status,Global Position,18
0,Global Position,channel,3,cpuload.ram_usage,0.7702135070595801,641,cpuload.ram_usage,cpuload,Mechanical/Electrical,18
0,Global Position,channel,4,vehicle_local_position.eph,0.5897241435305373,641,vehicle_local_position.eph,vehicle_local_position,Global Position,18
0,Global Position,channel,5,actuator_controls_0.control[1],0.34641623010993944,641,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,18
0,Global Position,channel,6,ekf2_innovations.vel_pos_innov[5],0.26137380576906444,641,ekf2_innovations.vel_pos_innov[5],ekf2_innovations,Shared,18
0,Global Position,channel,7,vehicle_attitude_setpoint.pitch_body,0.22399381716330985,641,vehicle_attitude_setpoint.pitch_body,vehicle_attitude_setpoint,Mechanical/Electrical,18
0,Global Position,channel,8,estimator_status.mag_test_ratio,0.221418469519074,641,estimator_status.mag_test_ratio,estimator_status,Shared,18
0,Global Position,channel,9,manual_control_setpoint.y,0.21959602132997763,641,manual_control_setpoint.y,manual_control_setpoint,Global Position,18
0,Global Position,channel,10,actuator_controls_0.control[3],0.14529873498760476,641,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,18
0,Global Position,channel,11,sensor_preflight.gyro_inconsistency_rad_s,0.14162723165789917,641,sensor_preflight.gyro_inconsistency_rad_s,sensor_preflight,Mechanical/Electrical,18
0,Global Position,channel,12,cpuload.load,0.1386451692198178,641,cpuload.load,cpuload,Mechanical/Electrical,18
0,Global Position,channel,13,vehicle_attitude.q[2],0.13723374357139945,641,vehicle_attitude.q[2],vehicle_attitude,Mechanical/Electrical,18
0,Global Position,channel,14,vehicle_local_position.x,0.13607682422489856,641,vehicle_local_position.x,vehicle_local_position,Global Position,18
0,Global Position,channel,15,estimator_status.hgt_test_ratio,0.09576213431167943,641,estimator_status.hgt_test_ratio,estimator_status,Altitude,18
0,Global Position,channel,16,rate_ctrl_status.yawspeed_integ,0.07917477100712453,641,rate_ctrl_status.yawspeed_integ,rate_ctrl_status,Global Position,18
0,Global Position,channel,17,sensor_combined.accelerometer_m_s2[2],0.07678937739126936,641,sensor_combined.accelerometer_m_s2[2],sensor_combined,Mechanical/Electrical,18
0,Global Position,channel,18,battery_status.current_a,0.07296894207419583,641,battery_status.current_a,battery_status,Mechanical/Electrical,18
0,Global Position,channel,19,battery_status.voltage_v,0.07079369755819112,641,battery_status.voltage_v,battery_status,Mechanical/Electrical,18
0,Global Position,channel,20,ekf2_innovations.heading_innov,0.061015959488487356,641,ekf2_innovations.heading_innov,ekf2_innovations,Global Position,18
0,Global Position,channel,21,vehicle_attitude_setpoint.yaw_body,0.060966541011936916,641,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,18
0,Global Position,channel,22,actuator_outputs.output[6],0.05332990876197577,641,actuator_outputs.output[6],actuator_outputs,Mechanical/Electrical,18
0,Global Position,channel,23,battery_status.current_filtered_a,0.05125551944736279,641,battery_status.current_filtered_a,battery_status,Mechanical/Electrical,18
0,Global Position,channel,24,sensor_combined.accelerometer_m_s2[1],0.04877092803814136,641,sensor_combined.accelerometer_m_s2[1],sensor_combined,Mechanical/Electrical,18
0,Global Position,channel,25,vehicle_local_position.dist_bottom_rate,0.04492853219591459,641,vehicle_local_position.dist_bottom_rate,vehicle_local_position,Altitude,18
0,Global Position,channel,26,manual_control_setpoint.z,0.04438271448821671,641,manual_control_setpoint.z,manual_control_setpoint,Altitude,18
