seed,scope,level,rank,name,mean_abs_shap,scope_windows,topic,feature_count
1,External Position,topic,1,vehicle_local_position,1.7772576109881424,1707,vehicle_local_position,234
1,External Position,topic,2,estimator_status,0.8570384360080683,1707,estimator_status,162
1,External Position,topic,3,actuator_outputs,0.6485368681134103,1707,actuator_outputs,144
1,External Position,topic,4,actuator_controls_0,0.643630233094533,1707,actuator_controls_0,72
1,External Position,topic,5,ekf2_innovations,0.4838094658783827,1707,ekf2_innovations,144
1,External Position,topic,6,vehicle_vision_position,0.3742609855154411,1707,vehicle_vision_position,54
1,External Position,topic,7,manual_control_setpoint,0.3652630415744087,1707,manual_control_setpoint,72
1,External Position,topic,8,vehicle_attitude,0.2714462832917896,1707,vehicle_attitude,126
1,External Position,topic,9,cpuload,0.24034432684001758,1707,cpuload,36
1,External Position,topic,10,vehicle_attitude_setpoint,0.23984459465197683,1707,vehicle_attitude_setpoint,54
1,External Position,topic,11,sensor_combined,0.21617466850102512,1707,sensor_combined,108
1,External Position,topic,12,battery_status,0.2079151111782557,1707,battery_status,108
1,External Position,topic,13,rate_ctrl_status,0.12282090362797313,1707,rate_ctrl_status,54
1,External Position,topic,14,sensor_preflight,0.08759305081762689,1707,sensor_preflight,36
1,External Position,topic,15,vehicle_rates_setpoint,0.07619190493462899,1707,vehicle_rates_setpoint,54
1,External Position,topic,16,vehicle_status,0.04234695982343049,1707,vehicle_status,36
1,External Position,topic,17,vehicle_land_detected,0.030965866132991474,1707,vehicle_land_detected,54
1,External Position,topic,18,distance_sensor,0.011733768700975158,1707,distance_sensor,18
1,Global Position,topic,1,manual_control_setpoint,1.6382128392304975,641,manual_control_setpoint,72
1,Global Position,topic,2,estimator_status,1.496024197753713,641,estimator_status,162
1,Global Position,topic,3,cpuload,0.9306638460986293,641,cpuload,36
1,Global Position,topic,4,vehicle_local_position,0.8713427236649425,641,vehicle_local_position,234
1,Global Position,topic,5,actuator_controls_0,0.5084799223876596,641,actuator_controls_0,72
1,Global Position,topic,6,ekf2_innovations,0.4523525171736793,641,ekf2_innovations,144
1,Global Position,topic,7,vehicle_attitude_setpoint,0.29671159743575876,641,vehicle_attitude_setpoint,54
