seed,k,mask,repeat,baseline_macro_f1,masked_macro_f1,macro_f1_drop,baseline_balanced_accuracy,masked_balanced_accuracy,balanced_accuracy_drop
0,50,uniform_random_k,13,0.8981823801062768,0.8972843509551884,0.0008980291510883864,0.8866618861212897,0.8870776716481528,-0.00041578552686305503
0,50,uniform_random_k,14,0.8981823801062768,0.8967957463113804,0.0013866337948964524,0.8866618861212897,0.8860030027909337,0.0006588833303560193
0,50,uniform_random_k,15,0.8981823801062768,0.8978415427241808,0.0003408373820960042,0.8866618861212897,0.8867561267317297,-9.424061043994403e-05
0,50,uniform_random_k,16,0.8981823801062768,0.8965760777922286,0.0016063023140482358,0.8866618861212897,0.8865066255724061,0.00015526054888359564
0,50,uniform_random_k,17,0.8981823801062768,0.9034579129667359,-0.00527553286045912,0.8866618861212897,0.8900765822491765,-0.003414696127886807
0,50,uniform_random_k,18,0.8981823801062768,0.8966457283291549,0.0015366517771219224,0.8866618861212897,0.8869275219625101,-0.00026563584122041295
0,50,uniform_random_k,19,0.8981823801062768,0.8975157010043806,0.000666679101896217,0.8866618861212897,0.8856613224089308,0.001000563712358904
0,100,validation_shap_top_k,-1,0.8981823801062768,0.5827043094538655,0.3154780706524113,0.8866618861212897,0.5555614832316048,0.3311004028896849
0,100,uniform_random_k,0,0.8981823801062768,0.8851067137973421,0.013075666308934752,0.8866618861212897,0.8783675286749435,0.008294357446346212
0,100,uniform_random_k,1,0.8981823801062768,0.8981238937502934,5.8486355983378147e-05,0.8866618861212897,0.8864918154001851,0.0001700707211046426
0,100,uniform_random_k,2,0.8981823801062768,0.895155812688523,0.003026567417753867,0.8866618861212897,0.8854474172086313,0.0012144689126584174
0,100,uniform_random_k,3,0.8981823801062768,0.8885091014359341,0.009673278670342733,0.8866618861212897,0.872069706533667,0.014592179587622711
0,100,uniform_random_k,4,0.8981823801062768,0.8872165443444756,0.010965835761801213,0.8866618861212897,0.8748678266943655,0.011794059426924242
0,100,uniform_random_k,5,0.8981823801062768,0.8993656568203054,-0.0011832767140286249,0.8866618861212897,0.889080952898911,-0.0024190667776212704
0,100,uniform_random_k,6,0.8981823801062768,0.9016575419133731,-0.003475161807096283,0.8866618861212897,0.8900505374716269,-0.0033886513503371685
0,100,uniform_random_k,7,0.8981823801062768,0.8980182369506597,0.00016414315561708026,0.8866618861212897,0.8911464850405222,-0.004484598919232474
0,100,uniform_random_k,8,0.8981823801062768,0.8888028387270724,0.009379541379204381,0.8866618861212897,0.8781857860823983,0.008476100038891432
0,100,uniform_random_k,9,0.8981823801062768,0.899343338036507,-0.0011609579302301887,0.8866618861212897,0.8880198869336431,-0.001358000812353377
0,100,uniform_random_k,10,0.8981823801062768,0.9003085416516623,-0.0021261615453854743,0.8866618861212897,0.8885597157979541,-0.0018978296766644087
