scope,mode,topic,mapped,module_count,input_mean_abs_shap,allocated_mean_abs_shap,conservation_error
Global Position,bidirectional,vehicle_local_position,True,11,0.9084235791279968,0.9084235791279968,0.0
Global Position,bidirectional,cpuload,True,3,0.8748967275771244,0.8748967275771244,0.0
Global Position,bidirectional,actuator_controls_0,True,11,0.4890458136403546,0.4890458136403546,0.0
Global Position,bidirectional,ekf2_innovations,True,1,0.4255340004703546,0.4255340004703546,0.0
Global Position,bidirectional,vehicle_attitude_setpoint,True,8,0.3113329907943486,0.3113329907943486,0.0
Global Position,bidirectional,battery_status,True,16,0.243033873799901,0.243033873799901,0.0
Global Position,bidirectional,actuator_outputs,True,11,0.2429846910862584,0.2429846910862584,0.0
Global Position,bidirectional,vehicle_attitude,True,22,0.1809683894672362,0.1809683894672362,0.0
Global Position,bidirectional,sensor_combined,True,11,0.1675974190767296,0.1675974190767296,0.0
Global Position,bidirectional,sensor_preflight,True,2,0.1554315332578985,0.1554315332578985,0.0
Global Position,bidirectional,rate_ctrl_status,True,2,0.1007738224081706,0.1007738224081706,0.0
Global Position,bidirectional,vehicle_rates_setpoint,True,5,0.0513409231511359,0.0513409231511359,0.0
Global Position,bidirectional,vehicle_vision_position,True,4,0.0465281903136405,0.0465281903136405,0.0
Global Position,bidirectional,vehicle_status,True,16,0.0182035089655789,0.0182035089655789,0.0
Global Position,bidirectional,distance_sensor,True,9,0.0048113824734224,0.0048113824734224,0.0
Global Position,bidirectional,vehicle_land_detected,True,9,0.0041313796278889,0.0041313796278889,0.0
Mechanical/Electrical,bidirectional,actuator_controls_0,True,11,2.108631606643008,2.108631606643008,0.0
Mechanical/Electrical,bidirectional,actuator_outputs,True,11,1.2120312735829586,1.2120312735829586,0.0
Mechanical/Electrical,bidirectional,vehicle_attitude,True,22,0.9037722156047364,0.9037722156047364,0.0
Mechanical/Electrical,bidirectional,vehicle_local_position,True,11,0.553306746998994,0.553306746998994,0.0
Mechanical/Electrical,bidirectional,sensor_combined,True,11,0.540843378086963,0.540843378086963,0.0
Mechanical/Electrical,bidirectional,battery_status,True,16,0.4025443280580757,0.4025443280580757,0.0
Mechanical/Electrical,bidirectional,estimator_status,True,2,0.3844240825636998,0.3844240825636998,0.0
Mechanical/Electrical,bidirectional,vehicle_attitude_setpoint,True,8,0.3085282904681508,0.3085282904681508,0.0
Mechanical/Electrical,bidirectional,ekf2_innovations,True,1,0.2761445241113139,0.2761445241113139,0.0
Mechanical/Electrical,bidirectional,manual_control_setpoint,True,13,0.2560171031979942,0.2560171031979942,0.0
Mechanical/Electrical,bidirectional,cpuload,True,3,0.1745916313199279,0.1745916313199279,0.0
Mechanical/Electrical,bidirectional,vehicle_rates_setpoint,True,5,0.1221061933524238,0.1221061933524238,0.0
Mechanical/Electrical,bidirectional,rate_ctrl_status,True,2,0.0794281991756872,0.0794281991756872,0.0
Mechanical/Electrical,bidirectional,sensor_preflight,True,2,0.0600893568766827,0.0600893568766827,0.0
Mechanical/Electrical,bidirectional,distance_sensor,True,9,0.0483828243262082,0.0483828243262082,0.0
Mechanical/Electrical,bidirectional,vehicle_vision_position,True,4,0.041136014978073,0.041136014978073,0.0
Mechanical/Electrical,bidirectional,vehicle_land_detected,True,9,0.0203655546599147,0.0203655546599147,0.0
Mechanical/Electrical,bidirectional,vehicle_status,True,16,0.0050290069770517,0.0050290069770517,0.0
all,bidirectional,vehicle_local_position,True,11,1.233465964738612,1.233465964738612,0.0
all,bidirectional,estimator_status,True,2,1.0458123690550505,1.0458123690550505,0.0
all,bidirectional,actuator_controls_0,True,11,0.8814930327289379,0.8814930327289379,0.0
all,bidirectional,actuator_outputs,True,11,0.6125028772349091,0.6125028772349091,0.0
all,bidirectional,ekf2_innovations,True,1,0.5751656880418109,0.5751656880418109,0.0
all,bidirectional,manual_control_setpoint,True,13,0.5454978852553817,0.5454978852553817,0.0
all,bidirectional,vehicle_attitude,True,22,0.3403361216072455,0.3403361216072455,0.0
all,bidirectional,cpuload,True,3,0.3113832760522867,0.3113832760522867,0.0
all,bidirectional,sensor_combined,True,11,0.2446285233073235,0.2446285233073235,0.0
all,bidirectional,battery_status,True,16,0.2365802371661818,0.2365802371661818,0.0
all,bidirectional,vehicle_attitude_setpoint,True,8,0.231415689518585,0.231415689518585,0.0
all,bidirectional,vehicle_vision_position,True,4,0.2158941928138385,0.2158941928138385,0.0
all,bidirectional,sensor_preflight,True,2,0.1160866896065868,0.1160866896065868,0.0
all,bidirectional,rate_ctrl_status,True,2,0.1142190487443314,0.1142190487443314,0.0
all,bidirectional,vehicle_rates_setpoint,True,5,0.1054620930569791,0.1054620930569791,0.0
all,bidirectional,distance_sensor,True,9,0.0272369659890921,0.0272369659890921,0.0
all,bidirectional,vehicle_status,True,16,0.0269561109702426,0.0269561109702426,0.0
all,bidirectional,vehicle_land_detected,True,9,0.0172743468480745,0.0172743468480745,0.0
