run_id,topic,field,normal_samples,reference_samples,common_timestamps,common_value_exact_fraction,common_max_absolute_delta,normal_max_gap_ms,reference_max_gap_ms
ekf2_innovation_bias__2018-12-20__07_47_50__baseline,vehicle_attitude,pitchspeed,3842,3844,3250,0.9978461538461538,0.02030877396464348,127.894,127.894
ekf2_innovation_bias__2018-12-20__07_47_50__baseline,vehicle_attitude,yawspeed,3842,3844,3250,0.9978461538461538,0.10713277757167816,127.894,127.894
ekf2_innovation_bias__2018-12-20__07_47_50__baseline,sensor_combined,gyro_rad[0],28369,28400,28316,1.0,0.0,128.03,128.03
ekf2_innovation_bias__2018-12-20__07_47_50__baseline,sensor_combined,accelerometer_m_s2[0],28369,28400,28316,1.0,0.0,128.03,128.03
ekf2_innovation_bias__2018-12-25__08_44_40__baseline,vehicle_attitude,rollspeed,4355,4355,2269,1.0,0.0,296.881,208.802
ekf2_innovation_bias__2018-12-25__08_44_40__baseline,vehicle_attitude,pitchspeed,4355,4355,2269,1.0,0.0,296.881,208.802
ekf2_innovation_bias__2018-12-25__08_44_40__baseline,vehicle_attitude,yawspeed,4355,4355,2269,1.0,0.0,296.881,208.802
ekf2_innovation_bias__2018-12-25__08_44_40__baseline,sensor_combined,gyro_rad[0],31723,31745,31593,1.0,0.0,151.954,151.954
ekf2_innovation_bias__2018-12-25__08_44_40__baseline,sensor_combined,accelerometer_m_s2[0],31723,31745,31593,1.0,0.0,151.954,151.954
inav_local_z_freeze__2018-12-19__07_49_17__baseline,vehicle_attitude,rollspeed,2685,2722,1577,1.0,0.0,76.075,76.075
inav_local_z_freeze__2018-12-19__07_49_17__baseline,vehicle_attitude,pitchspeed,2685,2722,1577,1.0,0.0,76.075,76.075
inav_local_z_freeze__2018-12-19__07_49_17__baseline,vehicle_attitude,yawspeed,2685,2722,1577,1.0,0.0,76.075,76.075
inav_local_z_freeze__2018-12-19__07_49_17__baseline,sensor_combined,gyro_rad[0],17583,17939,17505,1.0,0.0,76.029,76.029
inav_local_z_freeze__2018-12-19__07_49_17__baseline,sensor_combined,accelerometer_m_s2[0],17583,17939,17505,1.0,0.0,76.029,76.029
inav_local_z_freeze__2018-12-20__07_47_50__baseline,vehicle_attitude,rollspeed,3843,3842,3320,1.0,0.0,127.894,127.894
inav_local_z_freeze__2018-12-20__07_47_50__baseline,vehicle_attitude,pitchspeed,3843,3842,3320,1.0,0.0,127.894,127.894
inav_local_z_freeze__2018-12-20__07_47_50__baseline,vehicle_attitude,yawspeed,3843,3842,3320,1.0,0.0,127.894,127.894
inav_local_z_freeze__2018-12-20__07_47_50__baseline,sensor_combined,gyro_rad[0],28380,28389,28314,1.0,0.0,128.03,128.03
inav_local_z_freeze__2018-12-20__07_47_50__baseline,sensor_combined,accelerometer_m_s2[0],28380,28389,28314,1.0,0.0,128.03,128.03
inav_local_z_freeze__2018-12-25__08_44_40__baseline,vehicle_attitude,rollspeed,4394,4353,3836,1.0,0.0,201.194,264.712
inav_local_z_freeze__2018-12-25__08_44_40__baseline,vehicle_attitude,pitchspeed,4394,4353,3836,1.0,0.0,201.194,264.712
inav_local_z_freeze__2018-12-25__08_44_40__baseline,vehicle_attitude,yawspeed,4394,4353,3836,1.0,0.0,201.194,264.712
inav_local_z_freeze__2018-12-25__08_44_40__baseline,sensor_combined,gyro_rad[0],31990,31696,31609,1.0,0.0,151.954,151.954
inav_local_z_freeze__2018-12-25__08_44_40__baseline,sensor_combined,accelerometer_m_s2[0],31990,31696,31609,1.0,0.0,151.954,151.954
land_detector_state_inversion__2018-12-19__07_49_17__baseline,vehicle_attitude,rollspeed,2723,2722,1606,1.0,0.0,191.798,76.075
land_detector_state_inversion__2018-12-19__07_49_17__baseline,vehicle_attitude,pitchspeed,2723,2722,1606,1.0,0.0,191.798,76.075
land_detector_state_inversion__2018-12-19__07_49_17__baseline,vehicle_attitude,yawspeed,2723,2722,1606,1.0,0.0,191.798,76.075
land_detector_state_inversion__2018-12-19__07_49_17__baseline,sensor_combined,gyro_rad[0],17838,17954,17723,1.0,0.0,76.029,76.029
land_detector_state_inversion__2018-12-19__07_49_17__baseline,sensor_combined,accelerometer_m_s2[0],17838,17954,17723,1.0,0.0,76.029,76.029
land_detector_state_inversion__2018-12-20__07_47_50__baseline,vehicle_attitude,rollspeed,3843,3843,3781,1.0,0.0,127.894,127.894
land_detector_state_inversion__2018-12-20__07_47_50__baseline,vehicle_attitude,pitchspeed,3843,3843,3781,1.0,0.0,127.894,127.894
land_detector_state_inversion__2018-12-20__07_47_50__baseline,vehicle_attitude,yawspeed,3843,3843,3781,1.0,0.0,127.894,127.894
land_detector_state_inversion__2018-12-20__07_47_50__baseline,sensor_combined,gyro_rad[0],28377,28347,28288,1.0,0.0,128.03,128.03
land_detector_state_inversion__2018-12-20__07_47_50__baseline,sensor_combined,accelerometer_m_s2[0],28377,28347,28288,1.0,0.0,128.03,128.03
land_detector_state_inversion__2018-12-25__08_44_40__baseline,vehicle_attitude,rollspeed,4356,4351,2934,1.0,0.0,201.194,252.824
land_detector_state_inversion__2018-12-25__08_44_40__baseline,vehicle_attitude,pitchspeed,4356,4351,2934,1.0,0.0,201.194,252.824
land_detector_state_inversion__2018-12-25__08_44_40__baseline,vehicle_attitude,yawspeed,4356,4351,2934,1.0,0.0,201.194,252.824
land_detector_state_inversion__2018-12-25__08_44_40__baseline,sensor_combined,gyro_rad[0],31748,31678,31562,1.0,0.0,151.954,151.954
land_detector_state_inversion__2018-12-25__08_44_40__baseline,sensor_combined,accelerometer_m_s2[0],31748,31678,31562,1.0,0.0,151.954,151.954
