group,run_id,topic,sustained_max,evidence
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,vehicle_attitude_setpoint,1.6558340191841125,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,vehicle_land_detected,0.0,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,vehicle_local_position,207.34477043151855,33.93753799316271
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,vehicle_rates_setpoint,2.947390079498291,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,vehicle_status,0.0,0.0
reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,vehicle_vision_position,0.0,0.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,actuator_controls_0,10.81272840499878,0.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,actuator_outputs,6.511019319295883,0.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,battery_status,0.0,0.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,cpuload,0.0,0.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,distance_sensor,0.0,0.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,ekf2_innovations,19.82435702937582,0.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,estimator_status,226.73702062759057,21.129437519792866
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,manual_control_setpoint,6.548724174499512,0.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,rate_ctrl_status,0.03962397575378418,0.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,sensor_combined,6.020078659057617,0.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,sensor_preflight,0.0,0.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,vehicle_attitude,36.79122030735016,2.1721443394634212
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,vehicle_attitude_setpoint,13.571254014968872,0.2909987774964805
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,vehicle_land_detected,0.0,0.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,vehicle_local_position,117.53620147705078,22.755234182995057
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,vehicle_rates_setpoint,8.098558485507965,0.0
