method,pair_id,run_id,source_log,condition,mutation_id,threshold,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,ground_truth_rank,top1,top3,top5,mrr
residual_gate_original_shap,normal:land_detector_state_inversion__2019-01-25__17_38_05__baseline,land_detector_state_inversion__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,land_detector_state_inversion,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:land_detector_state_inversion__2019-01-25__17_38_05__baseline,land_detector_state_inversion__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,normal,land_detector_state_inversion,0.3374776883274057,True,True,False,80.8,50.8,,0.0,0.0,0.0,0.0
paired_residual,fault:commander_nav_state_override__2019-01-25__17_38_05__fault,commander_nav_state_override__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,commander_nav_state_override,3.0,True,True,False,32.8,2.799999999999997,1.0,1.0,1.0,1.0,1.0
residual_gate_original_shap,fault:commander_nav_state_override__2019-01-25__17_38_05__fault,commander_nav_state_override__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,commander_nav_state_override,3.0,True,True,False,32.8,2.799999999999997,21.0,0.0,0.0,0.0,0.047619047619047616
original_stage1_original_shap,fault:commander_nav_state_override__2019-01-25__17_38_05__fault,commander_nav_state_override__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,commander_nav_state_override,0.3374776883274057,True,True,False,80.0,50.0,2.0,0.0,1.0,1.0,0.5
paired_residual,fault:ekf2_innovation_bias__2019-01-25__17_38_05__fault,ekf2_innovation_bias__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,ekf2_innovation_bias,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,fault:ekf2_innovation_bias__2019-01-25__17_38_05__fault,ekf2_innovation_bias__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,ekf2_innovation_bias,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,fault:ekf2_innovation_bias__2019-01-25__17_38_05__fault,ekf2_innovation_bias__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,ekf2_innovation_bias,0.3374776883274057,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,fault:inav_local_z_freeze__2019-01-25__17_38_05__fault,inav_local_z_freeze__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,inav_local_z_freeze,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,fault:inav_local_z_freeze__2019-01-25__17_38_05__fault,inav_local_z_freeze__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,inav_local_z_freeze,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,fault:inav_local_z_freeze__2019-01-25__17_38_05__fault,inav_local_z_freeze__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,inav_local_z_freeze,0.3374776883274057,False,False,False,,,,0.0,0.0,0.0,0.0
paired_residual,fault:land_detector_state_inversion__2019-01-25__17_38_05__fault,land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,land_detector_state_inversion,3.0,True,True,False,31.2,1.1999999999999993,2.0,0.0,1.0,1.0,0.5
residual_gate_original_shap,fault:land_detector_state_inversion__2019-01-25__17_38_05__fault,land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,land_detector_state_inversion,3.0,True,True,False,31.2,1.1999999999999993,5.0,0.0,0.0,1.0,0.2
original_stage1_original_shap,fault:land_detector_state_inversion__2019-01-25__17_38_05__fault,land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,land_detector_state_inversion,0.3374776883274057,True,True,False,80.0,50.0,6.0,0.0,0.0,0.0,0.16666666666666666
paired_residual,normal:commander_nav_state_override__2019-03-06__08_02_26__baseline,commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,commander_nav_state_override,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:commander_nav_state_override__2019-03-06__08_02_26__baseline,commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,commander_nav_state_override,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
