gate,exposure,run_id,source_log,condition,mutation_id,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,frozen_rank,top1,top3,top5,mrr
frozen,historical,inav_local_z_freeze__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,inav_local_z_freeze,True,True,True,11.22951,42.82951,,0,0,0,0.0
frozen,historical,inav_local_z_freeze__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,inav_local_z_freeze,True,True,True,16.820272,56.42027200000001,,0,0,0,0.0
frozen,historical,inav_local_z_freeze__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,inav_local_z_freeze,True,False,True,11.21706,,,0,0,0,0.0
frozen,historical,land_detector_state_inversion__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,land_detector_state_inversion,True,True,True,11.231278999999999,14.031278999999998,,0,0,0,0.0
frozen,historical,land_detector_state_inversion__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,land_detector_state_inversion,False,False,False,,,,0,0,0,0.0
frozen,historical,land_detector_state_inversion__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,land_detector_state_inversion,True,True,True,11.216244,74.016244,,0,0,0,0.0
frozen,post30_common,commander_nav_state_override__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,commander_nav_state_override,True,True,False,32.024026,2.024025999999999,1.0,1,1,1,1.0
frozen,post30_common,commander_nav_state_override__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,commander_nav_state_override,True,True,False,32.022316,2.0223159999999964,1.0,1,1,1,1.0
frozen,post30_common,commander_nav_state_override__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,commander_nav_state_override,True,True,False,32.024953,2.0249529999999965,1.0,1,1,1,1.0
frozen,post30_common,ekf2_innovation_bias__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,ekf2_innovation_bias,True,True,False,30.422597999999997,0.42259799999999714,1.0,1,1,1,1.0
frozen,post30_common,ekf2_innovation_bias__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,ekf2_innovation_bias,True,True,False,30.418875999999997,0.41887599999999736,1.0,1,1,1,1.0
frozen,post30_common,ekf2_innovation_bias__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,ekf2_innovation_bias,True,True,False,35.224724,5.224724000000002,1.0,1,1,1,1.0
frozen,post30_common,inav_local_z_freeze__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,inav_local_z_freeze,True,True,False,32.821414999999995,2.8214149999999947,,0,0,0,0.0
