run_id,topic,samples,valid_samples,first_s,last_s,missing_channels
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_status_flags,72,72,0.996891,68.816092,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_vision_position,1304,1304,1.248703,68.775784,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,actuator_controls_0,919,919,1.213477,94.302237,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,actuator_outputs,917,917,1.151954,94.184654,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,battery_status,187,187,0.937694,94.210463,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,cpuload,94,94,0.859242,94.109476,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,distance_sensor,916,916,1.224513,94.176538,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,ekf2_innovations,459,459,1.049785,94.222629,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,estimator_status,459,459,1.254203,94.222629,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,manual_control_setpoint,459,459,1.246739,94.231523,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,rate_ctrl_status,2941,2941,1.297434,94.278241,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,sensor_combined,23233,23233,1.301272,94.302066,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,sensor_preflight,6,5,93.306361,94.11543,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,system_power,187,187,0.934605,94.224606,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_attitude,2939,2939,1.297739,94.286649,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_attitude_setpoint,916,916,1.259237,94.223282,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_land_detected,94,94,1.319467,93.891467,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_local_position,1030,1030,2.982134,107.412077,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_rates_setpoint,2935,2935,1.329431,94.286181,
