method,pair_id,run_id,source_log,condition,mutation_id,threshold,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,ground_truth_rank,top1,top3,top5,mrr
residual_gate_original_shap,normal:inav_local_z_freeze__2019-03-06__08_02_26__baseline,inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,inav_local_z_freeze,17.025179862976074,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:inav_local_z_freeze__2019-03-06__08_02_26__baseline,inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,inav_local_z_freeze,0.3374776883274057,True,True,False,80.820042,50.820042,,0.0,0.0,0.0,0.0
paired_residual,normal:land_detector_state_inversion__2019-03-06__08_02_26__baseline,land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,land_detector_state_inversion,17.025179862976074,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:land_detector_state_inversion__2019-03-06__08_02_26__baseline,land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,land_detector_state_inversion,17.025179862976074,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:land_detector_state_inversion__2019-03-06__08_02_26__baseline,land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,land_detector_state_inversion,0.3374776883274057,True,True,False,80.81984299999999,50.81984299999999,,0.0,0.0,0.0,0.0
paired_residual,fault:commander_nav_state_override__2019-03-06__08_02_26__fault,commander_nav_state_override__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,commander_nav_state_override,17.025179862976074,True,True,False,31.222125,1.2221249999999984,1.0,1.0,1.0,1.0,1.0
residual_gate_original_shap,fault:commander_nav_state_override__2019-03-06__08_02_26__fault,commander_nav_state_override__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,commander_nav_state_override,17.025179862976074,True,True,False,31.222125,1.2221249999999984,20.0,0.0,0.0,0.0,0.05
original_stage1_original_shap,fault:commander_nav_state_override__2019-03-06__08_02_26__fault,commander_nav_state_override__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,commander_nav_state_override,0.3374776883274057,True,True,False,80.822125,50.822125,28.0,0.0,0.0,0.0,0.03571428571428571
paired_residual,fault:ekf2_innovation_bias__2019-03-06__08_02_26__fault,ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,ekf2_innovation_bias,17.025179862976074,True,True,False,32.820043999999996,2.8200439999999958,1.0,1.0,1.0,1.0,1.0
residual_gate_original_shap,fault:ekf2_innovation_bias__2019-03-06__08_02_26__fault,ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,ekf2_innovation_bias,17.025179862976074,True,True,False,32.820043999999996,2.8200439999999958,1.0,1.0,1.0,1.0,1.0
original_stage1_original_shap,fault:ekf2_innovation_bias__2019-03-06__08_02_26__fault,ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,ekf2_innovation_bias,0.3374776883274057,True,True,False,80.820044,50.820043999999996,2.0,0.0,1.0,1.0,0.5
paired_residual,fault:inav_local_z_freeze__2019-03-06__08_02_26__fault,inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,inav_local_z_freeze,17.025179862976074,True,True,False,44.826176999999994,14.826176999999994,2.0,0.0,1.0,1.0,0.5
residual_gate_original_shap,fault:inav_local_z_freeze__2019-03-06__08_02_26__fault,inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,inav_local_z_freeze,17.025179862976074,True,True,False,44.826176999999994,14.826176999999994,20.0,0.0,0.0,0.0,0.05
original_stage1_original_shap,fault:inav_local_z_freeze__2019-03-06__08_02_26__fault,inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,inav_local_z_freeze,0.3374776883274057,True,True,False,80.826177,50.826177,20.0,0.0,0.0,0.0,0.05
paired_residual,fault:land_detector_state_inversion__2019-03-06__08_02_26__fault,land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,land_detector_state_inversion,17.025179862976074,True,True,False,31.213741,1.2137409999999988,2.0,0.0,1.0,1.0,0.5
residual_gate_original_shap,fault:land_detector_state_inversion__2019-03-06__08_02_26__fault,land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,land_detector_state_inversion,17.025179862976074,True,True,False,31.213741,1.2137409999999988,,0.0,0.0,0.0,0.0
original_stage1_original_shap,fault:land_detector_state_inversion__2019-03-06__08_02_26__fault,land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,land_detector_state_inversion,0.3374776883274057,True,True,False,80.813741,50.81374099999999,,0.0,0.0,0.0,0.0
