method,seed,class_id,class,precision,recall,f1,support
stage2_lightgbm,3,3,Altitude,0.9207317073170732,0.7933450087565674,0.852304797742239,571
stage2_lightgbm,3,4,Mechanical/Electrical,0.9300476947535771,0.8565153733528551,0.8917682926829268,683
stage2_random_forest,3,1,External Position,0.8293043907252097,0.9847685998828354,0.90037493304767,1707
stage2_random_forest,3,2,Global Position,0.9550949913644214,0.8627145085803433,0.9065573770491804,641
stage2_random_forest,3,3,Altitude,0.9573991031390134,0.7478108581436077,0.839724680432645,571
stage2_random_forest,3,4,Mechanical/Electrical,0.9509090909090909,0.7657393850658858,0.8483373884833739,683
majority,3,1,External Position,0.47390338700721824,1.0,0.6430589564889809,1707
majority,3,2,Global Position,0.0,0.0,0.0,641
majority,3,3,Altitude,0.0,0.0,0.0,571
majority,3,4,Mechanical/Electrical,0.0,0.0,0.0,683
stratified_random,3,1,External Position,0.4605641911341393,0.46865846514352666,0.4645760743321719,1707
stratified_random,3,2,Global Position,0.17375,0.21684867394695787,0.19292158223455932,641
stratified_random,3,3,Altitude,0.17330210772833723,0.2591943957968476,0.20771929824561403,571
stratified_random,3,4,Mechanical/Electrical,0.1848341232227488,0.05710102489019034,0.087248322147651,683
hs_aerots_cascade,3,0,Normal,0.9610978753957117,0.9669041599632269,0.9639922747062097,30457
hs_aerots_cascade,3,1,External Position,0.670045615813482,0.7744581136496778,0.7184782608695652,1707
hs_aerots_cascade,3,2,Global Position,0.6481481481481481,0.6552262090483619,0.6516679596586501,641
hs_aerots_cascade,3,3,Altitude,0.6797752808988764,0.4238178633975482,0.5221143473570659,571
hs_aerots_cascade,3,4,Mechanical/Electrical,0.7210884353741497,0.465592972181552,0.5658362989323843,683
stage2_lightgbm,4,1,External Position,0.9137168141592921,0.9677797305213826,0.9399715504978663,1707
stage2_lightgbm,4,2,Global Position,0.9072948328267477,0.9313572542901716,0.9191685912240185,641
stage2_lightgbm,4,3,Altitude,0.9168356997971603,0.7915936952714536,0.849624060150376,571
stage2_lightgbm,4,4,Mechanical/Electrical,0.9144634525660964,0.8609077598828697,0.8868778280542986,683
stage2_random_forest,4,1,External Position,0.8314328210213188,0.9824253075571178,0.9006444683136412,1707
stage2_random_forest,4,2,Global Position,0.9389830508474576,0.8642745709828393,0.9000812347684809,641
stage2_random_forest,4,3,Altitude,0.9621380846325167,0.7565674255691769,0.8470588235294118,571
stage2_random_forest,4,4,Mechanical/Electrical,0.9633699633699634,0.7701317715959004,0.8559804719283971,683
majority,4,1,External Position,0.47390338700721824,1.0,0.6430589564889809,1707
majority,4,2,Global Position,0.0,0.0,0.0,641
majority,4,3,Altitude,0.0,0.0,0.0,571
majority,4,4,Mechanical/Electrical,0.0,0.0,0.0,683
stratified_random,4,1,External Position,0.4750593824228028,0.46865846514352666,0.4718372161604247,1707
stratified_random,4,2,Global Position,0.19515151515151516,0.25117004680187205,0.21964529331514324,641
stratified_random,4,3,Altitude,0.16357308584686775,0.2469352014010508,0.19678995115143055,571
stratified_random,4,4,Mechanical/Electrical,0.22510822510822512,0.07613469985358712,0.1137855579868709,683
hs_aerots_cascade,4,0,Normal,0.9631150233199763,0.9627671799586301,0.9629410702264256,30457
hs_aerots_cascade,4,1,External Position,0.6512896825396826,0.7691857059168131,0.7053451517593339,1707
hs_aerots_cascade,4,2,Global Position,0.6271929824561403,0.6692667706708268,0.6475471698113208,641
hs_aerots_cascade,4,3,Altitude,0.6292428198433421,0.4220665499124343,0.5052410901467506,571
hs_aerots_cascade,4,4,Mechanical/Electrical,0.7113207547169811,0.5519765739385066,0.6215993404781534,683
direct_five_class_lightgbm,0,0,Normal,0.955342439213407,0.9714023048888597,0.9633054406928662,30457
direct_five_class_lightgbm,0,1,External Position,0.7097297297297297,0.7691857059168131,0.7382625808265392,1707
direct_five_class_lightgbm,0,2,Global Position,0.6836935166994106,0.5429017160686428,0.6052173913043478,641
direct_five_class_lightgbm,0,3,Altitude,0.6798561151079137,0.3309982486865149,0.4452296819787986,571
direct_five_class_lightgbm,0,4,Mechanical/Electrical,0.6622516556291391,0.43923865300146414,0.528169014084507,683
