seed,scope,k,windows,consistency,hit_rate,weighted_consistency,random_consistency,random_hit_rate
3,Mechanical/Electrical,3,683,0.890190336749634,0.9428989751098097,0.785168554332315,0.5402298850574712,0.9067880560403793
3,all,5,3602,0.34819544697390337,0.7642976124375347,0.2709607163495793,0.1706555106677644,0.45752081189720134
3,correct_predictions,5,3293,0.3655025812329183,0.7883389006984513,0.2755509367623036,0.1620574468307905,0.4393896064364709
3,External Position,5,1707,0.11833626244874049,0.5629759812536614,0.06448388919199845,0.03448275862068966,0.16448889098542385
3,Global Position,5,641,0.37722308892355694,0.9594383775351014,0.261396071219548,0.13793103448275865,0.5328969744050702
3,Altitude,5,571,0.4,0.8809106830122592,0.2838905379680243,0.17241379310344832,0.6213369919131216
3,Mechanical/Electrical,5,683,0.8521229868228404,0.986822840409956,0.785168554332315,0.5402298850574712,0.9821918661281965
3,all,10,3602,0.28034425319267076,0.8642420877290394,0.2709607163495793,0.1706555106677644,0.6147883193254209
3,correct_predictions,10,3293,0.28694199817795324,0.877315517764956,0.2755509367623036,0.1620574468307905,0.5964884059162686
3,External Position,10,1707,0.08728763913298183,0.7346221441124781,0.06448388919199845,0.03448275862068966,0.3098731072220388
3,Global Position,10,641,0.23213728549141965,0.9641185647425897,0.261396071219548,0.13793103448275865,0.7928061264036552
3,Altitude,10,571,0.3161120840630473,0.9772329246935202,0.2838905379680243,0.17241379310344832,0.8659721821741826
3,Mechanical/Electrical,10,683,0.7781844802342606,1.0,0.785168554332315,0.5402298850574712,0.9997881246499923
4,all,1,3602,0.24541921154913937,0.24541921154913937,0.27154985071170745,0.1706555106677644,0.17065551066776438
4,correct_predictions,1,3289,0.25509273335360294,0.25509273335360294,0.2770311756248908,0.16263197072792274,0.16263197072792274
4,External Position,1,1707,0.029291154071470416,0.029291154071470416,0.05752218053285299,0.03448275862068966,0.03448275862068961
4,Global Position,1,641,0.0358814352574103,0.0358814352574103,0.27306104084918037,0.13793103448275865,0.13793103448275867
4,Altitude,1,571,0.3712784588441331,0.3712784588441331,0.28382822336780134,0.17241379310344832,0.17241379310344832
4,Mechanical/Electrical,1,683,0.87701317715959,0.87701317715959,0.7947791469497087,0.5402298850574712,0.5402298850574712
4,all,3,3602,0.36396446418656303,0.610494169905608,0.27154985071170745,0.1706555106677644,0.3537462624804545
4,correct_predictions,3,3289,0.38502077632512416,0.636667680145941,0.2770311756248908,0.16263197072792274,0.33885052633106794
4,External Position,3,1707,0.09119312634251123,0.27299355594610425,0.05752218053285299,0.03448275862068966,0.10105193641209488
4,Global Position,3,641,0.4919396775871035,0.9547581903276131,0.27306104084918037,0.13793103448275865,0.3629416481909524
4,Altitude,3,571,0.407472270869819,0.8493870402802102,0.28382822336780134,0.17241379310344832,0.43733194962026506
4,Mechanical/Electrical,3,683,0.8892142508540751,0.931185944363104,0.7947791469497087,0.5402298850574712,0.9067880560403793
4,all,5,3602,0.3403664630760688,0.726540810660744,0.27154985071170745,0.1706555106677644,0.45752081189720134
4,correct_predictions,5,3289,0.3577987230161143,0.7473396169048343,0.2770311756248908,0.16263197072792274,0.44033088454115465
4,External Position,5,1707,0.09701230228471001,0.48096074985354426,0.05752218053285299,0.03448275862068966,0.16448889098542385
4,Global Position,5,641,0.3797191887675507,0.9578783151326054,0.27306104084918037,0.13793103448275865,0.5328969744050702
4,Altitude,5,571,0.4056042031523643,0.8861646234676007,0.28382822336780134,0.17241379310344832,0.6213369919131216
4,Mechanical/Electrical,5,683,0.8571010248901904,0.9897510980966325,0.7947791469497087,0.5402298850574712,0.9821918661281965
4,all,10,3602,0.2789283731260411,0.8325930038867296,0.27154985071170745,0.1706555106677644,0.6147883193254209
4,correct_predictions,10,3289,0.28570994223168134,0.8452417148069322,0.2770311756248908,0.16263197072792274,0.5972971949622123
4,External Position,10,1707,0.07744581136496778,0.6695957820738138,0.05752218053285299,0.03448275862068966,0.3098731072220388
4,Global Position,10,641,0.23868954758190328,0.9609984399375975,0.27306104084918037,0.13793103448275865,0.7928061264036552
4,Altitude,10,571,0.3161120840630473,0.9754816112084063,0.28382822336780134,0.17241379310344832,0.8659721821741826
4,Mechanical/Electrical,10,683,0.7891654465592972,1.0,0.7947791469497087,0.5402298850574712,0.9997881246499923
