mode,module,mean_abs_shap,seed_std,seeds,shap_share,rank,mapped_topic_degree,degree_normalized_score,degree_normalized_share,degree_normalized_rank
consumer_only,src/modules/commander,1.6166117434614944,0.09334031507827534,5,0.24462220741677487,1,8,0.2020764679326868,0.07941625812263631,2
consumer_only,src/drivers/mkblctrl,0.13379620339076612,0.004712911128666153,5,0.02024575334789566,13,1,0.13379620339076612,0.05258204447560562,3
consumer_only,src/drivers/px4io,0.13379620339076612,0.004712911128666153,5,0.02024575334789566,13,1,0.13379620339076612,0.05258204447560562,3
consumer_only,src/modules/sensors,0.13379620339076612,0.004712911128666153,5,0.02024575334789566,13,1,0.13379620339076612,0.05258204447560562,3
consumer_only,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.13379620339076612,0.004712911128666153,5,0.02024575334789566,13,1,0.13379620339076612,0.05258204447560562,3
consumer_only,src/platforms/posix/drivers/df_ltc2946_wrapper,0.13379620339076612,0.004712911128666153,5,0.02024575334789566,13,1,0.13379620339076612,0.05258204447560562,3
consumer_only,src/platforms/qurt/fc_addon/uart_esc,0.13379620339076612,0.004712911128666153,5,0.02024575334789566,13,1,0.13379620339076612,0.05258204447560562,3
consumer_only,src/drivers/camera_trigger,0.11358440940318648,0.0046537507276940195,5,0.017187348210674414,16,1,0.11358440940318648,0.04463878881174544,4
consumer_only,src/modules/events,0.2693208299076137,0.015666183510170465,5,0.04075304796082439,5,3,0.08977360996920457,0.03528112033455628,5
consumer_only,src/modules/gnd_pos_control,0.08346163851484947,0.0027992080489332087,5,0.01262923539353201,20,1,0.08346163851484947,0.03280050911143873,6
consumer_only,src/modules/landing_target_estimator,0.13320490711935545,0.006152193559676423,5,0.020156279669546598,14,2,0.06660245355967773,0.02617483221875283,7
consumer_only,src/modules/wind_estimator,0.13320490711935545,0.006152193559676423,5,0.020156279669546598,14,2,0.06660245355967773,0.02617483221875283,7
consumer_only,src/modules/land_detector,0.29695465213291883,0.01225287821002683,5,0.04493453842658253,3,5,0.05939093042658376,0.023340696267871466,8
consumer_only,src/modules/vtol_att_control,0.2705017077029825,0.009078727643709431,5,0.040931735845630944,4,5,0.054100341540596494,0.021261489436473987,9
consumer_only,src/drivers/vmount,0.10308213623101843,0.004298459969181042,5,0.015598166852404194,18,2,0.051541068115509216,0.020255692368599473,10
