dataset,group,run_id,target_sha256,reference0_sha256,reference1_sha256
transfer,reference,commander_nav_state_override__2018-12-20__07_47_50__fault,723367f5af32926b3d687443a2f5a09eb6f293baabbc95df72f0d0b57997a1b4,cc8d341cd5c907e3b79e71f11968a3e4d3df4358c0e53a96438343f151f5e258,32d7c1473a7836a4c05727fb93f750b20e9e968bc9f0a21d060e5ddaa907f7da
transfer,normal,commander_nav_state_override__2018-12-25__08_44_40__baseline,284e44f16d90659f40ed679453c505dea9b47435d6e3fbee530e82b5152ae9a7,097c530f9c4010bc09e32ede2fc04982599f6f2a717b01dffbcd594061fb71f6,b756d6188d11b0544a7aeb6b336160acd2403cd8433506c4b3125fe55c8eeb97
transfer,reference,commander_nav_state_override__2018-12-25__08_44_40__fault,5ea107f6162c5e1d2f4cc5c7a04aebad3f28c5e5afce984f6ed76d8cbe49c7d5,097c530f9c4010bc09e32ede2fc04982599f6f2a717b01dffbcd594061fb71f6,b756d6188d11b0544a7aeb6b336160acd2403cd8433506c4b3125fe55c8eeb97
transfer,normal,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,ce4400c8620e4bf2639630d1f80ed4325928daa8c124e087b8c7b83d72d45d7a,9594ff2633bd0f510ac3ff81c46e93710c83b475f45723f08c435735bd8f6c30,dcea0f86f6457e8b1165b6bd01f86ba142d0c7b77dbe73ca90743766e7758ea5
transfer,reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,97b9a2f2cd6d05140e4e32774b11921c93867266e4a93a44e6612afb737df9ea,9594ff2633bd0f510ac3ff81c46e93710c83b475f45723f08c435735bd8f6c30,dcea0f86f6457e8b1165b6bd01f86ba142d0c7b77dbe73ca90743766e7758ea5
transfer,normal,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,d881ba4a9d2e26894ab3e95c550ccdea5c45f305599e505b701cee4783d1bff7,67cdb9ef9829059fd650a0421f8ce2a3b4867d2520cc6928f0fa13e1abafa428,b71f6f1a7b860d0453c4920c474fd81d6ee67b25395b16bb9ca45ff76aa6923a
transfer,reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,a09c20fc2039763937eb455bfa21b8430464ed97fad7a05e0bdf87f31a7f37a4,67cdb9ef9829059fd650a0421f8ce2a3b4867d2520cc6928f0fa13e1abafa428,b71f6f1a7b860d0453c4920c474fd81d6ee67b25395b16bb9ca45ff76aa6923a
transfer,normal,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,835463800bf7c6430ef576cb2b4b330e6387b0d9b3cf7a2b818756fe1e7b8586,0b569df705d6a05c629e13e7091355d083a645884ab1cacac4e659adb8736cb8,5d2bda714d5b9ed3daa63c7f273ef2293b3c0cf159ffa2ce104f972439a308ab
transfer,reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,599ca68ab869005245e191235e2f10ed33cbd891272522afcc66bf9e42c9520c,0b569df705d6a05c629e13e7091355d083a645884ab1cacac4e659adb8736cb8,5d2bda714d5b9ed3daa63c7f273ef2293b3c0cf159ffa2ce104f972439a308ab
transfer,normal,inav_local_z_freeze__2018-12-19__07_49_17__baseline,458a138a9e5aa2f3a8c84780bb6170ba40feca2092acb9cebf6e4211b1d536c8,274c7cf3313b743d0e8efaf29d3ad18d21f09c696a452e9873aa946aab56694e,33833df375a21bf28bfb20701b3ec830e88e2965fc7acfaa16de4fa9130d4359
transfer,reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,11295ca6af18f2ec0c9b216341b4f714010f559891af9f73942221ea0ac1cadc,274c7cf3313b743d0e8efaf29d3ad18d21f09c696a452e9873aa946aab56694e,33833df375a21bf28bfb20701b3ec830e88e2965fc7acfaa16de4fa9130d4359
transfer,normal,inav_local_z_freeze__2018-12-20__07_47_50__baseline,c32ce97cf3ce3320fb071da544423e5e955853f33a2177fb175e1bb7fa274d91,8b4a944ae4c756fb2ce078b1f64b25a9c326d1264c5a4fdf92ddba37a3377d74,283b66ef7d01b0ce5a026b329be96f9ce971f1decc5702678cdb49abd4ae28c3
transfer,reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,ed84b678cd1768515d7868b6bdc4a3f1692209f7b24e2e6cbc78a07a286922e8,8b4a944ae4c756fb2ce078b1f64b25a9c326d1264c5a4fdf92ddba37a3377d74,283b66ef7d01b0ce5a026b329be96f9ce971f1decc5702678cdb49abd4ae28c3
transfer,normal,inav_local_z_freeze__2018-12-25__08_44_40__baseline,2c33a88fdd6794fa80204a7c37d5d96d0efdc653c71cd78af604867091a8dd6b,8b87e6b7d50394c0c1c9d044cf958e22c61ad824a8b586ecbe24924ba5aea65f,7e678f3a259d521154ed61ff724185d71c1c4171b3cef369060c919157d9c65b
transfer,reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,92e58811002eaee060a66ba4d2e2668831f0e49513b0eddfe2cd45ab468d4065,8b87e6b7d50394c0c1c9d044cf958e22c61ad824a8b586ecbe24924ba5aea65f,7e678f3a259d521154ed61ff724185d71c1c4171b3cef369060c919157d9c65b
transfer,normal,land_detector_state_inversion__2018-12-19__07_49_17__baseline,21bec2cb04e195a877adc73cde499398058ca9c5cea99ab8a87697a266642572,58a27be9cccf05fcdc2e844a81b4440a4ceaebdd61f4a6dd851a61d9411590a7,e705a6989ccfb67fdab8f4aba34a9dcccaf284310e8fe4e015bb3f3ae798dbf4
transfer,reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,6ce5f3a189e88cb8c51e64147faac7a2c7b7c74b326665777c1c957c6ef3d3f9,58a27be9cccf05fcdc2e844a81b4440a4ceaebdd61f4a6dd851a61d9411590a7,e705a6989ccfb67fdab8f4aba34a9dcccaf284310e8fe4e015bb3f3ae798dbf4
transfer,normal,land_detector_state_inversion__2018-12-20__07_47_50__baseline,9316695cc575ef80d1e2e749e2f31ea11f4e3cff11ce1b8fd87f2cef8720b013,9b2b4727a7a6a25c5c8c2e6c14bfff9b3a3924eede3c4564aa93374b0c1f979b,c9dfd58d313e7b70ff5b4491b294db4ba0fdeef4dd824925cad81cb8edc3ff4c
transfer,reference,land_detector_state_inversion__2018-12-20__07_47_50__fault,a977081585ee0e5c546aa43fe4400834cff98b61b06b37234706f86b766c7f89,9b2b4727a7a6a25c5c8c2e6c14bfff9b3a3924eede3c4564aa93374b0c1f979b,c9dfd58d313e7b70ff5b4491b294db4ba0fdeef4dd824925cad81cb8edc3ff4c
transfer,normal,land_detector_state_inversion__2018-12-25__08_44_40__baseline,06df13e831053d891aa995adc47498a13bb6c01ef1278256e87d69c5e402cd95,d3811064edb5f41313c37f2b3d84a677a658d72447520fc424555d7a2c1609ad,bb8294214361f8007f724fbdefa88f8314e8553b48b9ee42ebc140bb19806252
transfer,reference,land_detector_state_inversion__2018-12-25__08_44_40__fault,346390449f79048420bbd2290c7356af72ec2baa4ee21b06fd93dde9ab71d0c5,d3811064edb5f41313c37f2b3d84a677a658d72447520fc424555d7a2c1609ad,bb8294214361f8007f724fbdefa88f8314e8553b48b9ee42ebc140bb19806252
