dataset,group,run_id,topic,shared_fraction,shared_packets_used
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,cpuload,1.0,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,distance_sensor,1.0,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,ekf2_innovations,0.0,False
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,estimator_status,0.0,False
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,manual_control_setpoint,0.9978991596638656,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,rate_ctrl_status,0.9996726677577742,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,sensor_combined,0.9994606032944691,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,sensor_preflight,1.0,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_attitude,0.9996725605762934,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_attitude_setpoint,1.0,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_land_detected,1.0,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_local_position,1.0,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_rates_setpoint,0.9996721311475409,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_status,1.0,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_vision_position,1.0,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,actuator_controls_0,0.005997001499250375,False
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,actuator_outputs,1.0,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,battery_status,1.0,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,cpuload,1.0,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,distance_sensor,1.0,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,ekf2_innovations,0.996996996996997,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,estimator_status,0.9970059880239521,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,manual_control_setpoint,0.996996996996997,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,rate_ctrl_status,1.0,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,sensor_combined,0.9997624420952608,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,sensor_preflight,1.0,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_attitude,0.999514091350826,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_attitude_setpoint,1.0,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_land_detected,1.0,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_local_position,0.0,False
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_rates_setpoint,1.0,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_status,1.0,True
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,vehicle_vision_position,0.9861963190184049,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,actuator_controls_0,0.6659412404787813,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,actuator_outputs,1.0,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,battery_status,1.0,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,cpuload,1.0,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,distance_sensor,1.0,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,ekf2_innovations,0.9956427015250545,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,estimator_status,0.9978213507625272,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,manual_control_setpoint,1.0,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,rate_ctrl_status,1.0,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,sensor_combined,0.9998708733267335,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,sensor_preflight,1.0,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_attitude,1.0,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_attitude_setpoint,1.0,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_land_detected,1.0,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_local_position,0.008737864077669903,False
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_rates_setpoint,1.0,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_status,1.0,True
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_vision_position,0.9877136752136753,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,actuator_controls_0,0.9958027282266527,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,actuator_outputs,1.0,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,battery_status,1.0,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,cpuload,1.0,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,distance_sensor,1.0,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,ekf2_innovations,0.9979035639412998,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,estimator_status,1.0,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,manual_control_setpoint,1.0,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,rate_ctrl_status,1.0,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,sensor_combined,0.9999170434277656,True
