run_id,topic,samples,valid_samples,first_s,last_s,missing_channels
ekf2_innovation_bias__2019-01-18__08_39_38__fault,vehicle_rates_setpoint,2121,2121,1.31886,68.762875,
ekf2_innovation_bias__2019-01-18__08_39_38__fault,vehicle_status,72,71,0.996877,67.812038,
ekf2_innovation_bias__2019-01-18__08_39_38__fault,vehicle_status_flags,71,71,0.996891,67.812073,
ekf2_innovation_bias__2019-01-18__08_39_38__fault,vehicle_vision_position,1298,1298,1.344589,68.775784,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,actuator_controls_0,917,917,1.193423,94.170238,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,actuator_outputs,917,917,1.151954,94.184654,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,battery_status,186,186,0.937694,93.717682,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,cpuload,94,94,0.859242,94.109476,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,distance_sensor,916,916,1.224513,94.176538,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,ekf2_innovations,459,459,1.2295,94.206192,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,estimator_status,459,459,1.237443,94.21021,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,manual_control_setpoint,459,459,1.246739,94.231523,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,rate_ctrl_status,2940,2940,1.269436,94.218211,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,sensor_combined,23220,23220,1.281285,94.246066,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,sensor_preflight,6,5,93.306361,94.11543,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,system_power,186,186,0.934605,93.724573,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_attitude,2937,2937,1.297739,94.222629,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_attitude_setpoint,916,916,1.259237,94.223282,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_land_detected,94,94,1.319467,93.891467,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_local_position,915,915,1.25765,94.14657,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_rates_setpoint,2933,2933,1.329431,94.222211,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_status,95,95,0.998373,93.300698,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_status_flags,95,95,0.998386,93.300729,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_vision_position,1880,1880,1.335517,94.216886,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,actuator_controls_0,917,917,1.225372,94.202237,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,actuator_outputs,917,917,1.151954,94.184654,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,battery_status,186,186,0.937694,93.717682,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,cpuload,94,94,0.859242,94.109476,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,distance_sensor,916,916,1.224513,94.176538,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,ekf2_innovations,458,458,1.26141,94.033347,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,estimator_status,458,458,1.269411,94.037332,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,manual_control_setpoint,458,458,1.246739,94.030696,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,rate_ctrl_status,2939,2939,1.297434,94.218211,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,sensor_combined,23209,23209,1.313265,94.234074,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,sensor_preflight,6,5,93.306361,94.11543,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,system_power,186,186,0.934605,93.724573,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,vehicle_attitude,2936,2936,1.32571,94.222629,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,vehicle_attitude_setpoint,916,916,1.259237,94.223282,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,vehicle_land_detected,94,94,1.319467,93.891467,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,vehicle_local_position,915,915,1.25765,94.14657,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,vehicle_rates_setpoint,2932,2932,1.361488,94.222211,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,vehicle_status,95,95,0.998373,93.300698,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,vehicle_status_flags,95,95,0.998386,93.300729,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,vehicle_vision_position,1877,1877,1.366996,94.216886,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,actuator_controls_0,953,953,1.177257,97.802897,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,actuator_outputs,952,952,1.135315,97.760898,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,battery_status,194,194,0.833499,97.76308,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,cpuload,97,97,0.735621,97.02465,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,distance_sensor,952,952,1.130816,97.757376,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,ekf2_innovations,477,477,1.209221,97.834823,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,estimator_status,476,476,1.217247,97.642784,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,manual_control_setpoint,476,476,1.134525,97.584097,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,rate_ctrl_status,3056,3056,1.229301,97.810842,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,sensor_combined,24108,24108,1.261057,97.834663,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,sensor_preflight,6,5,96.855565,97.65974,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,system_power,193,193,0.840369,97.280371,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_attitude,3055,3055,1.261461,97.803469,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_attitude_setpoint,951,951,1.254309,97.79955,
