pair_id,module,score,rank
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/land_detector,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/landing_target_estimator,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/load_mon,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/logger,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/mavlink,1.1898856200878052,4.0
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/mc_att_control,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/mc_pos_control,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/navigator,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/position_estimator_inav,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/replay,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/sdlog2,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/sensors,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/simulator,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/syslink,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/uavcan,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/vtol_att_control,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/wind_estimator,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_bebop_rangefinder_wrapper,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_isl29501_wrapper,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_ltc2946_wrapper,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_trone_wrapper,0.0,
